#code,score
4u4s_120,-16.59227483693162
4u4s_122,-16.59227483693162
4u4s_127,-16.59227483693162
4u4s_128,-16.59227483693162
4u4s_138,-16.59227483693162
4u4s_14,-16.59227483693162
4u4s_143,-16.59227483693162
4u4s_152,-16.59227483693162
4u4s_153,-16.59227483693162
4u4s_173,-16.59227483693162
4u4s_230,-16.59227483693162
4u4s_232,-16.59227483693162
4u4s_251,-16.59227483693162
4u4s_26,-16.59227483693162
4u4s_261,-16.59227483693162
4u4s_271,-16.59227483693162
4u4s_272,-16.59227483693162
4u4s_293,-16.59227483693162
4u4s_36,-16.59227483693162
4u4s_412,-16.59227483693162
4u4s_427,-16.59227483693162
4u4s_428,-16.59227483693162
4u4s_429,-16.59227483693162
4u4s_430,-16.59227483693162
4u4s_435,-16.59227483693162
4u4s_440,-16.59227483693162
4u4s_449,-16.59227483693162
4u4s_456,-16.59227483693162
4u4s_460,-16.59227483693162
4u4s_462,-16.59227483693162
4u4s_464,-16.59227483693162
4u4s_468,-16.59227483693162
4u4s_484,-16.59227483693162
4u4s_485,-16.59227483693162
4u4s_490,-16.59227483693162
4u4s_492,-16.59227483693162
4u4s_497,-16.59227483693162
4u4s_500,-16.59227483693162
4u4s_509,-16.59227483693162
4u4s_523,-16.59227483693162
4u4s_526,-16.59227483693162
4u4s_537,-16.59227483693162
4u4s_540,-16.59227483693162
4u4s_547,-16.59227483693162
4u4s_550,-16.59227483693162
4u4s_551,-16.59227483693162
4u4s_555,-16.59227483693162
4u4s_557,-16.59227483693162
4u4s_586,-16.59227483693162
4u4s_589,-16.59227483693162
4u4s_595,-16.59227483693162
4u4s_597,-16.59227483693162
4u4s_598,-16.59227483693162
4u4s_609,-16.59227483693162
4u4s_613,-16.59227483693162
4u4s_624,-23.738178654309092
4u4s_637,-16.59227483693162
4u4s_638,-16.59227483693162
4u4s_640,-16.59227483693162
4u4s_641,-16.59227483693162
4u4s_642,-16.59227483693162
4u4s_644,-16.59227483693162
4u4s_646,-16.59227483693162
4u4s_647,-16.59227483693162
4u4s_654,-16.59227483693162
4u4s_658,-16.59227483693162
4u4s_659,-16.59227483693162
4u4s_665,-16.59227483693162
4u4s_668,-16.59227483693162
4u4s_670,-16.59227483693162
4u4s_671,-16.59227483693162
4u4s_675,-16.59227483693162
4u4s_682,-23.738178654309092
4u4s_689,-16.59227483693162
4u4s_69,-16.59227483693162
4u4s_71,-16.59227483693162
4u4s_719,-16.59227483693162
4u4s_720,-16.59227483693162
4u4s_726,-16.59227483693162
4u4s_727,-16.59227483693162
4u4s_730,-16.59227483693162
4u4s_764,-16.59227483693162
4u4s_765,-16.59227483693162
4u4s_766,-16.59227483693162
4u4s_767,-16.59227483693162
4u4s_768,-16.59227483693162
4u4s_772,-16.59227483693162
4u4s_776,-16.59227483693162
4u4s_787,-16.59227483693162
4u4s_835,-16.59227483693162
4u4s_842,-16.59227483693162
4u4s_855,-16.59227483693162
4u4s_863,-16.59227483693162
4u4s_927,-16.59227483693162
4u4s_958,-16.59227483693162
4u4s_962,-16.59227483693162
4u4s_965,-16.59227483693162
4u4s_969,-16.59227483693162
4u4s_971,-16.59227483693162
