#code,score
1bcu_11,68000.0
1bcu_220,32000.0
1bcu_270,2200.0
1bcu_309,68000.0
1bcu_33,68000.0
1bcu_334,32000.0
1bcu_362,68000.0
1bcu_397,32000.0
1bcu_406,68000.0
1bcu_424,68000.0
1bcu_442,32000.0
1bcu_451,190.0
1bcu_454,68000.0
1bcu_462,68000.0
1bcu_469,2200.0
1bcu_473,190.0
1bcu_479,68000.0
1bcu_483,68000.0
1bcu_495,32000.0
1bcu_564,2200.0
1bcu_585,2200.0
1bcu_591,56.0
1bcu_595,190.0
1bcu_608,2200.0
1bcu_617,56.0
1bcu_634,32000.0
1bcu_653,32000.0
1bcu_661,32000.0
1bcu_684,32000.0
1bcu_695,16.0
1bcu_701,68000.0
1bcu_703,68000.0
1bcu_708,2200.0
1bcu_712,5000.0
1bcu_715,2200.0
1bcu_717,32000.0
1bcu_718,32000.0
1bcu_720,56.0
1bcu_725,32000.0
1bcu_729,32000.0
1bcu_738,32000.0
1bcu_741,68000.0
1bcu_742,68000.0
1bcu_745,2200.0
1bcu_749,2200.0
1bcu_752,2200.0
1bcu_753,16.0
1bcu_754,5000.0
1bcu_756,2200.0
1bcu_758,32000.0
1bcu_761,32000.0
1bcu_764,2200.0
1bcu_765,2200.0
1bcu_772,2200.0
1bcu_773,68000.0
1bcu_777,32000.0
1bcu_778,68000.0
1bcu_782,68000.0
1bcu_788,32000.0
1bcu_790,32000.0
1bcu_803,32000.0
1bcu_806,68000.0
1bcu_813,5000.0
1bcu_825,68000.0
1bcu_828,68000.0
1bcu_829,68000.0
1bcu_843,16.0
1bcu_850,32000.0
1bcu_852,32000.0
1bcu_855,68000.0
1bcu_862,68000.0
1bcu_869,32000.0
1bcu_878,5000.0
1bcu_881,32000.0
1bcu_885,16.0
1bcu_886,32000.0
1bcu_887,68000.0
1bcu_888,32000.0
1bcu_890,56.0
1bcu_893,68000.0
1bcu_898,32000.0
1bcu_903,68000.0
1bcu_915,5000.0
1bcu_919,2200.0
1bcu_920,68000.0
1bcu_923,68000.0
1bcu_931,2200.0
1bcu_933,56.0
1bcu_939,68000.0
1bcu_949,32000.0
1bcu_967,2200.0
1bcu_971,2200.0
1bcu_977,56.0
1bcu_980,2200.0
1bcu_981,68000.0
1bcu_983,2200.0
1bcu_984,32000.0
1bcu_989,32000.0
1bcu_991,32000.0
1bcu_996,68000.0
