#code,score
3b27_106,68000.0
3b27_110,32000.0
3b27_119,32000.0
3b27_120,68000.0
3b27_123,56.0
3b27_130,32000.0
3b27_139,68000.0
3b27_147,68000.0
3b27_164,68000.0
3b27_168,32000.0
3b27_178,32000.0
3b27_19,68000.0
3b27_199,68000.0
3b27_264,68000.0
3b27_307,68000.0
3b27_311,32000.0
3b27_337,32000.0
3b27_340,32000.0
3b27_351,68000.0
3b27_366,32000.0
3b27_414,56.0
3b27_417,16.0
3b27_419,56.0
3b27_423,56.0
3b27_431,32000.0
3b27_433,32000.0
3b27_436,32000.0
3b27_439,32000.0
3b27_450,68000.0
3b27_457,190.0
3b27_458,68000.0
3b27_469,68000.0
3b27_474,56.0
3b27_487,32000.0
3b27_488,16.0
3b27_500,32000.0
3b27_505,32000.0
3b27_515,68000.0
3b27_520,32000.0
3b27_521,32000.0
3b27_532,32000.0
3b27_537,68000.0
3b27_538,32000.0
3b27_540,56.0
3b27_560,190.0
3b27_566,32000.0
3b27_577,68000.0
3b27_581,190.0
3b27_587,4800000.0
3b27_588,56.0
3b27_590,56.0
3b27_591,32000.0
3b27_601,32000.0
3b27_618,56.0
3b27_619,68000.0
3b27_630,56.0
3b27_634,32000.0
3b27_647,68000.0
3b27_651,68000.0
3b27_658,68000.0
3b27_661,68000.0
3b27_665,190.0
3b27_690,68000.0
3b27_692,68000.0
3b27_697,68000.0
3b27_741,68000.0
3b27_77,32000.0
3b27_775,68000.0
3b27_782,68000.0
3b27_8,32000.0
3b27_83,32000.0
