#code,score
3kr8_419,5000.0
3kr8_422,32000.0
3kr8_428,5000.0
3kr8_441,68000.0
3kr8_442,32000.0
3kr8_453,5000.0
3kr8_459,5000.0
3kr8_460,32000.0
3kr8_470,68000.0
3kr8_475,32000.0
3kr8_479,33000.0
3kr8_489,1046400.0
3kr8_492,1046400.0
3kr8_498,68000.0
3kr8_499,5000.0
3kr8_505,32000.0
3kr8_558,1990000.0
3kr8_568,32000.0
3kr8_579,56.0
3kr8_582,2200.0
3kr8_584,1046400.0
3kr8_585,32000.0
3kr8_595,5000.0
3kr8_598,5000.0
3kr8_609,32000.0
3kr8_617,5000.0
3kr8_619,2200.0
3kr8_640,5000.0
3kr8_646,1046400.0
3kr8_650,68000.0
3kr8_653,5000.0
3kr8_656,68000.0
3kr8_658,2200.0
3kr8_661,5000.0
3kr8_664,32000.0
3kr8_674,2200.0
3kr8_683,2200.0
3kr8_690,5000.0
3kr8_695,2200.0
3kr8_696,33000.0
3kr8_699,1990000.0
3kr8_702,68000.0
3kr8_728,68000.0
3kr8_731,5000.0
3kr8_745,5000.0
3kr8_747,32000.0
3kr8_756,68000.0
3kr8_757,32000.0
3kr8_759,56.0
3kr8_761,5000.0
3kr8_763,5000.0
3kr8_765,32000.0
3kr8_767,5000.0
3kr8_768,56.0
3kr8_771,32000.0
3kr8_772,68000.0
3kr8_776,2200.0
3kr8_779,68000.0
3kr8_780,5000.0
3kr8_781,5000.0
3kr8_783,5000.0
3kr8_785,68000.0
3kr8_787,32000.0
3kr8_807,2200.0
3kr8_819,5000.0
3kr8_826,32000.0
3kr8_852,5000.0
3kr8_856,5000.0
3kr8_870,5000.0
3kr8_876,5000.0
3kr8_882,68000.0
3kr8_884,68000.0
3kr8_894,68000.0
3kr8_896,68000.0
3kr8_910,32000.0
3kr8_922,56.0
3kr8_958,5000.0
3kr8_965,5000.0
3kr8_969,68000.0
3kr8_971,2200.0
3kr8_980,5000.0
