#code,score
3f3a_203,-47.47635730861819
3f3a_222,-47.47635730861819
3f3a_262,-18.378750791275987
3f3a_278,-47.47635730861819
3f3a_3,-47.47635730861819
3f3a_309,-47.47635730861819
3f3a_31,-47.47635730861819
3f3a_320,-47.47635730861819
3f3a_321,-47.47635730861819
3f3a_322,-47.47635730861819
3f3a_333,-47.47635730861819
3f3a_339,-47.47635730861819
3f3a_354,-23.790247899986834
3f3a_359,-23.790247899986834
3f3a_367,-23.790247899986834
3f3a_410,-23.790247899986834
3f3a_412,-47.47635730861819
3f3a_417,-47.47635730861819
3f3a_432,-47.47635730861819
3f3a_438,-47.47635730861819
3f3a_439,-23.790247899986834
3f3a_443,-47.47635730861819
3f3a_447,-47.47635730861819
3f3a_488,-47.47635730861819
3f3a_495,-47.47635730861819
3f3a_509,-23.790247899986834
3f3a_514,-47.47635730861819
3f3a_525,-47.47635730861819
3f3a_528,-47.47635730861819
3f3a_552,-23.790247899986834
3f3a_553,-47.47635730861819
3f3a_558,-47.47635730861819
3f3a_57,-47.47635730861819
3f3a_570,-47.47635730861819
3f3a_573,-23.790247899986834
3f3a_581,-47.47635730861819
3f3a_584,-23.790247899986834
3f3a_603,-47.47635730861819
3f3a_612,-47.47635730861819
3f3a_621,-23.790247899986834
3f3a_629,-23.790247899986834
3f3a_630,-47.47635730861819
3f3a_640,-47.47635730861819
3f3a_649,-47.47635730861819
3f3a_65,-47.47635730861819
3f3a_652,-47.47635730861819
3f3a_653,-47.47635730861819
3f3a_674,-47.47635730861819
3f3a_676,-47.47635730861819
3f3a_686,-23.790247899986834
3f3a_688,-47.47635730861819
3f3a_694,-47.47635730861819
3f3a_697,-47.47635730861819
3f3a_71,-47.47635730861819
3f3a_734,-23.790247899986834
3f3a_750,-47.47635730861819
3f3a_752,-47.47635730861819
3f3a_767,-23.790247899986834
3f3a_779,-23.790247899986834
3f3a_781,-23.790247899986834
3f3a_790,-23.790247899986834
3f3a_795,-47.47635730861819
3f3a_798,-23.790247899986834
3f3a_873,-18.378750791275987
3f3a_934,-47.47635730861819
