#code,score
4gr0_107,-18.378750791275987
4gr0_113,-23.790247899986834
4gr0_119,-23.790247899986834
4gr0_120,-18.378750791275987
4gr0_13,-18.378750791275987
4gr0_133,-23.790247899986834
4gr0_15,-23.790247899986834
4gr0_159,-18.378750791275987
4gr0_162,-18.378750791275987
4gr0_206,-18.378750791275987
4gr0_217,-18.378750791275987
4gr0_218,-23.790247899986834
4gr0_226,-18.378750791275987
4gr0_228,-18.378750791275987
4gr0_236,-23.790247899986834
4gr0_237,-18.378750791275987
4gr0_240,-18.378750791275987
4gr0_242,-23.790247899986834
4gr0_250,-18.378750791275987
4gr0_268,-18.378750791275987
4gr0_272,-18.378750791275987
4gr0_279,-18.378750791275987
4gr0_281,-18.378750791275987
4gr0_286,-18.378750791275987
4gr0_287,-18.378750791275987
4gr0_300,-23.790247899986834
4gr0_305,-23.790247899986834
4gr0_306,-18.378750791275987
4gr0_314,-23.790247899986834
4gr0_324,-18.378750791275987
4gr0_326,-18.378750791275987
4gr0_33,-18.378750791275987
4gr0_341,-18.378750791275987
4gr0_375,-18.378750791275987
4gr0_381,-18.378750791275987
4gr0_402,-23.790247899986834
4gr0_405,-18.378750791275987
4gr0_408,-18.378750791275987
4gr0_410,-23.790247899986834
4gr0_411,-23.790247899986834
4gr0_412,-18.378750791275987
4gr0_416,-18.378750791275987
4gr0_417,-23.790247899986834
4gr0_419,-23.790247899986834
4gr0_420,-23.790247899986834
4gr0_421,-23.790247899986834
4gr0_422,-23.790247899986834
4gr0_428,-18.378750791275987
4gr0_429,-18.378750791275987
4gr0_433,-18.378750791275987
4gr0_438,-18.378750791275987
4gr0_439,-23.790247899986834
4gr0_440,-23.790247899986834
4gr0_452,-18.378750791275987
4gr0_456,-18.378750791275987
4gr0_457,-23.790247899986834
4gr0_459,-18.378750791275987
4gr0_465,-18.378750791275987
4gr0_467,-23.790247899986834
4gr0_468,-23.790247899986834
4gr0_471,-23.790247899986834
4gr0_472,-18.378750791275987
4gr0_473,-23.790247899986834
4gr0_474,-18.378750791275987
4gr0_476,-23.790247899986834
4gr0_486,-23.790247899986834
4gr0_491,-23.790247899986834
4gr0_492,-18.378750791275987
4gr0_497,-23.790247899986834
4gr0_499,-23.790247899986834
4gr0_518,-23.790247899986834
4gr0_529,-23.790247899986834
4gr0_53,-18.378750791275987
4gr0_541,-18.378750791275987
4gr0_545,-18.378750791275987
4gr0_546,-18.378750791275987
4gr0_55,-23.790247899986834
4gr0_550,-18.378750791275987
4gr0_558,-18.378750791275987
4gr0_56,-23.790247899986834
4gr0_565,-18.378750791275987
4gr0_566,-18.378750791275987
4gr0_573,-23.790247899986834
4gr0_575,-23.790247899986834
4gr0_583,-23.790247899986834
4gr0_584,-18.378750791275987
4gr0_591,-23.790247899986834
4gr0_594,-23.790247899986834
4gr0_605,-18.378750791275987
4gr0_630,-23.790247899986834
4gr0_644,-23.790247899986834
4gr0_650,-23.790247899986834
4gr0_674,-18.378750791275987
4gr0_709,-18.378750791275987
4gr0_715,-18.378750791275987
4gr0_761,-18.378750791275987
4gr0_768,-18.378750791275987
4gr0_791,-23.790247899986834
4gr0_905,-18.378750791275987
4gr0_91,-18.378750791275987
