#code,score
2zda_101,8.15
2zda_108,8.15
2zda_116,8.15
2zda_132,8.15
2zda_142,8.15
2zda_156,8.15
2zda_157,8.15
2zda_167,8.15
2zda_170,8.15
2zda_174,8.15
2zda_182,8.15
2zda_192,8.15
2zda_196,8.15
2zda_2,8.15
2zda_205,8.15
2zda_212,8.15
2zda_218,8.15
2zda_224,8.15
2zda_23,8.15
2zda_232,8.15
2zda_255,8.15
2zda_259,8.15
2zda_262,8.15
2zda_264,8.15
2zda_266,8.15
2zda_27,8.15
2zda_270,8.15
2zda_272,8.15
2zda_274,8.15
2zda_277,8.15
2zda_289,8.15
2zda_29,8.15
2zda_295,8.15
2zda_299,8.15
2zda_302,8.15
2zda_311,8.15
2zda_338,8.15
2zda_345,8.15
2zda_379,8.15
2zda_382,8.15
2zda_391,8.15
2zda_393,8.15
2zda_414,8.0
2zda_429,8.15
2zda_434,5.4
2zda_435,8.0
2zda_442,8.0
2zda_447,8.0
2zda_45,8.15
2zda_470,8.15
2zda_498,8.0
2zda_5,8.15
2zda_500,8.0
2zda_506,8.15
2zda_525,8.0
2zda_533,8.0
2zda_54,8.15
2zda_558,8.15
2zda_561,8.15
2zda_573,8.15
2zda_589,8.15
2zda_615,8.0
2zda_627,8.15
2zda_633,8.0
2zda_643,8.0
2zda_664,8.15
2zda_671,8.0
2zda_677,8.15
2zda_694,8.15
2zda_698,8.0
2zda_739,8.15
2zda_748,8.15
2zda_751,8.15
2zda_753,8.15
2zda_758,8.15
2zda_763,8.15
2zda_766,8.15
2zda_767,8.15
2zda_772,8.15
2zda_773,8.15
2zda_777,8.15
2zda_80,8.15
2zda_835,8.15
2zda_860,8.15
2zda_89,8.15
