#code,score
3dx2_14,11.29
3dx2_225,11.29
3dx2_253,11.29
3dx2_293,11.29
3dx2_380,11.29
3dx2_39,11.29
3dx2_402,11.29
3dx2_426,7.89
3dx2_443,9.22
3dx2_472,7.89
3dx2_479,7.11
3dx2_482,7.23
3dx2_503,9.22
3dx2_508,7.89
3dx2_514,5.55
3dx2_534,7.11
3dx2_535,11.29
3dx2_549,7.89
3dx2_555,9.22
3dx2_570,5.55
3dx2_573,5.55
3dx2_576,5.55
3dx2_582,7.11
3dx2_583,9.22
3dx2_589,7.89
3dx2_591,5.55
3dx2_599,5.55
3dx2_602,5.55
3dx2_610,11.29
3dx2_628,5.55
3dx2_631,11.29
3dx2_636,9.22
3dx2_646,7.89
3dx2_649,11.29
3dx2_656,5.55
3dx2_659,5.55
3dx2_661,5.55
3dx2_677,5.55
3dx2_687,7.89
3dx2_691,5.55
3dx2_725,11.29
3dx2_736,11.29
3dx2_741,5.55
3dx2_743,5.55
3dx2_750,11.29
3dx2_754,7.89
3dx2_756,11.29
3dx2_761,5.55
3dx2_770,7.89
3dx2_772,11.29
3dx2_773,7.89
3dx2_774,11.29
3dx2_787,11.29
3dx2_820,11.29
3dx2_836,11.29
3dx2_893,11.29
3dx2_990,11.29
