#code,score
3jvs_206,8.34
3jvs_226,8.34
3jvs_229,8.34
3jvs_234,8.34
3jvs_235,8.34
3jvs_246,8.34
3jvs_253,8.34
3jvs_269,8.34
3jvs_275,8.34
3jvs_299,8.34
3jvs_377,8.34
3jvs_405,8.0
3jvs_411,8.34
3jvs_419,8.34
3jvs_424,8.0
3jvs_426,8.34
3jvs_435,8.34
3jvs_441,8.0
3jvs_443,8.0
3jvs_449,8.0
3jvs_454,8.0
3jvs_467,8.0
3jvs_469,8.0
3jvs_483,8.0
3jvs_489,8.0
3jvs_490,8.0
3jvs_492,8.0
3jvs_502,8.34
3jvs_513,8.34
3jvs_524,8.34
3jvs_546,8.34
3jvs_555,8.34
3jvs_56,8.0
3jvs_583,8.34
3jvs_587,8.34
3jvs_593,8.0
3jvs_613,8.34
3jvs_614,8.0
3jvs_616,8.34
3jvs_617,8.34
3jvs_623,8.34
3jvs_626,8.0
3jvs_640,8.34
3jvs_642,8.0
3jvs_651,8.34
3jvs_658,8.34
3jvs_666,8.34
3jvs_680,8.0
3jvs_688,8.34
3jvs_694,8.34
3jvs_698,8.34
3jvs_703,8.34
3jvs_707,8.34
3jvs_740,8.34
3jvs_742,8.34
3jvs_758,8.34
3jvs_762,8.34
3jvs_769,8.34
3jvs_785,8.34
3jvs_800,8.34
3jvs_804,8.34
3jvs_806,8.34
3jvs_812,8.34
3jvs_815,8.34
3jvs_817,8.34
3jvs_82,8.34
3jvs_822,8.34
3jvs_824,8.34
3jvs_830,8.34
3jvs_831,8.34
3jvs_832,8.34
3jvs_838,8.34
3jvs_840,8.34
3jvs_846,8.34
3jvs_847,8.34
3jvs_856,8.34
3jvs_860,8.34
3jvs_867,8.34
3jvs_868,8.34
3jvs_869,8.34
3jvs_884,8.34
3jvs_895,8.34
3jvs_897,8.34
3jvs_9,8.34
3jvs_904,8.34
3jvs_916,8.34
3jvs_957,8.34
3jvs_963,8.34
3jvs_973,8.34
