#code,score
4f09_182,-1109177.7334975025
4f09_270,-1090352.3998443233
4f09_407,-1239306.39832406
4f09_408,-1174516.2245589818
4f09_421,-1198304.1131686678
4f09_424,-1278615.3259813485
4f09_439,-1427335.902914054
4f09_450,-1541717.872859035
4f09_456,-1781768.0070661677
4f09_457,-1980861.5812295896
4f09_472,-938355.8973384838
4f09_489,-1889792.689721665
4f09_522,-952952.604352038
4f09_529,-1117696.8118604987
4f09_534,-974275.080674003
4f09_538,-979821.3343086994
4f09_539,-968921.8029570116
4f09_546,-1150531.3742996913
4f09_550,-725407.4387284557
4f09_551,-978362.3607204851
4f09_552,-714367.5595552961
4f09_557,-929631.2136327481
4f09_564,-1464715.4091615959
4f09_572,-904616.7846720975
4f09_576,-1512176.5699782802
4f09_584,-1154840.7518409444
4f09_586,-1122653.4048079697
4f09_595,-1481501.4929575303
4f09_597,-1367456.4072325865
4f09_600,-912638.9308512803
4f09_605,-1733981.983827459
4f09_611,-1325039.4376799453
4f09_621,-1236009.0442480373
4f09_623,-1116998.5944357628
4f09_631,-1491064.99888643
4f09_633,-2031183.5913279296
4f09_654,-1666357.3146788117
4f09_655,-1568873.736409983
4f09_671,-645483.9578282482
4f09_683,-1108703.6890949074
4f09_690,-1594151.8477526177
4f09_704,-1081587.9949796381
4f09_707,-1019671.5738173203
4f09_709,-1183364.2477670347
4f09_711,-852453.6064981837
4f09_717,-1064648.9679115012
4f09_718,-1103925.4464296803
4f09_721,-1090174.0827377327
4f09_723,-1013114.9417668056
4f09_730,-880457.2221021372
4f09_734,-748898.3587668779
4f09_743,-1027996.4811876594
4f09_745,-913768.9331381476
4f09_746,-1079316.819791989
4f09_753,-771753.2899393231
4f09_754,-906623.6301218726
4f09_755,-1027208.6718363472
4f09_756,-737101.7956857124
4f09_757,-1150867.5868547831
4f09_760,-728322.4198622317
4f09_762,-1017791.4680806162
4f09_763,-1128814.4791939103
4f09_767,-1118900.121092146
4f09_769,-1072192.6117628452
4f09_771,-1025163.6882350814
4f09_773,-1525915.1119318374
4f09_774,-1409577.6165326855
4f09_812,-861155.2164886203
4f09_832,-773178.5240840364
4f09_844,-941078.4015508624
4f09_846,-789797.0363989884
4f09_848,-955730.5545889452
4f09_863,-911165.9634612357
4f09_866,-1279675.9456615727
4f09_871,-868794.9748048066
4f09_874,-1455117.540212921
4f09_875,-1289755.90483152
4f09_893,-1038375.4352584394
4f09_899,-1079984.587906175
4f09_903,-1016759.8299404884
4f09_91,-993601.5587357718
4f09_919,-1008292.7341490003
4f09_944,-954726.3942412395
4f09_954,-1058973.1584087803
4f09_965,-1090300.520942251
4f09_967,-1125172.5778792587
4f09_975,-1002613.3902018516
