#code,score
1y6r_232,-868.4197748568939
1y6r_288,-873.1553372868522
1y6r_405,-953.3951899317518
1y6r_406,-935.0197818676157
1y6r_413,-987.6923433465217
1y6r_419,-892.6240517039213
1y6r_424,-871.8344596995364
1y6r_429,-871.1927092870372
1y6r_430,-958.8055063694202
1y6r_434,-930.0828049288491
1y6r_438,-977.5439381465234
1y6r_440,-843.945138835758
1y6r_445,-931.0121114899091
1y6r_450,-1038.1206477158144
1y6r_455,-728.2448898351553
1y6r_457,-919.5300285798478
1y6r_463,-961.0001615364612
1y6r_473,-873.84324935634
1y6r_476,-863.0873278187534
1y6r_480,-893.0925237745694
1y6r_481,-877.8977330547151
1y6r_482,-825.3609338796505
1y6r_484,-775.9378326576319
1y6r_496,-902.0591813890113
1y6r_510,-950.072759450631
1y6r_535,-937.2571885239954
1y6r_551,-768.1183115787445
1y6r_570,-896.6521832371163
1y6r_572,-940.6980762346176
1y6r_575,-836.143855477636
1y6r_579,-926.9878291616815
1y6r_595,-933.515596568885
1y6r_603,-908.5762175353944
1y6r_604,-881.9546298885855
1y6r_613,-905.3808204267319
1y6r_645,-784.1545431336746
1y6r_650,-834.4011374305046
1y6r_652,-939.4682197887569
1y6r_655,-856.1035425089756
1y6r_656,-919.2589275886913
1y6r_657,-894.9470374351632
1y6r_661,-951.3156069712892
1y6r_666,-592.267151853057
1y6r_678,-855.0717018551699
1y6r_694,-938.6451515322627
1y6r_696,-837.488285453761
1y6r_698,-901.9514800048432
1y6r_734,-883.5451914152711
1y6r_806,-883.9569131299625
1y6r_808,-881.3814223588151
1y6r_809,-871.4419628261688
1y6r_819,-869.3329527768938
1y6r_858,-873.0180381791163
1y6r_925,-873.3133065081221
1y6r_947,-858.1395037654604
1y6r_968,-877.5903489143344
