#code,score
2wtv_105,-990.5834063240771
2wtv_108,-928.2013002075053
2wtv_118,-954.4188310425969
2wtv_133,-828.1641706434337
2wtv_143,-1015.9590920631349
2wtv_144,-977.1369078436104
2wtv_152,-789.4289125023039
2wtv_157,-990.4647871125267
2wtv_159,-863.3285491111515
2wtv_174,-945.9309322195493
2wtv_196,-792.1124367471014
2wtv_20,-894.1891169105656
2wtv_237,-1086.655148321582
2wtv_24,-889.3346065901352
2wtv_240,-996.6227566787262
2wtv_250,-879.65708126666
2wtv_255,-1071.728992144008
2wtv_260,-887.1727966735863
2wtv_289,-1170.8970131940193
2wtv_296,-869.3498637478317
2wtv_317,-829.7906762145632
2wtv_32,-869.7624040510217
2wtv_320,-922.4359690974702
2wtv_328,-795.4513165054755
2wtv_333,-859.4737589232681
2wtv_357,-975.5814493927492
2wtv_376,-817.3793349229757
2wtv_38,-867.9315237827446
2wtv_39,-885.2235212048572
2wtv_401,-965.1533786161342
2wtv_411,-871.6950676405518
2wtv_415,-1087.8105162563797
2wtv_421,-1054.140331995378
2wtv_427,-997.3256391116832
2wtv_432,-986.7090585563664
2wtv_436,-1056.4112034150317
2wtv_437,-840.40933807077
2wtv_455,-1020.9647614610077
2wtv_459,-917.7098580322004
2wtv_460,-887.7217351102375
2wtv_470,-1097.9073226343905
2wtv_477,-1000.346023825527
2wtv_481,-1035.953617272876
2wtv_483,-1014.7457777205099
2wtv_486,-1125.3965336016845
2wtv_487,-886.55800090117
2wtv_489,-1128.4892324428295
2wtv_498,-849.8400880466089
2wtv_499,-965.2433384018575
2wtv_502,-1005.1563827640759
2wtv_506,-735.1668659646293
2wtv_509,-852.2581296796108
2wtv_533,-1045.476100113082
2wtv_534,-889.3539651811548
2wtv_541,-857.7755452854547
2wtv_544,-892.5602154111681
2wtv_547,-632.6343027707867
2wtv_548,-774.0834320645214
2wtv_55,-817.2151725007187
2wtv_551,-862.9704914093983
2wtv_557,-799.2694678418675
2wtv_558,-903.9409469751815
2wtv_561,-813.3051106197225
2wtv_570,-826.5597292200233
2wtv_575,-770.0335252362248
2wtv_576,-986.5752643847903
2wtv_579,-854.0851126182889
2wtv_581,-1118.0344553223072
2wtv_584,-1022.4933623855815
2wtv_585,-609.1896420292869
2wtv_590,-900.4853627031944
2wtv_591,-884.7591185980527
2wtv_595,-945.3835080188509
2wtv_596,-912.3623373064921
2wtv_602,-845.5330257532698
2wtv_604,-941.0887805138049
2wtv_608,-875.436052581298
2wtv_611,-846.4644545591689
2wtv_612,-968.8730492278702
2wtv_615,-923.947904414697
2wtv_624,-908.8057339769076
2wtv_631,-965.0154444909743
2wtv_637,-797.5793386629963
2wtv_644,-1002.5444306187068
2wtv_670,-875.9963934076658
2wtv_674,-995.7005160015823
2wtv_675,-1029.131224612803
2wtv_676,-893.7204468692333
2wtv_689,-776.8298783175308
2wtv_691,-1088.5848403658504
2wtv_697,-1037.6009115689606
2wtv_737,-746.7713969349726
2wtv_78,-904.6328104543451
2wtv_799,-683.78105078723
2wtv_801,-588.0889107757391
2wtv_804,-596.2153411442749
2wtv_83,-864.321005280024
2wtv_84,-879.7474926598104
2wtv_90,-895.4532231574495
2wtv_98,-877.4299096352433
