#code,score
2zda_101,-732.0712520267068
2zda_108,-737.7222604269292
2zda_116,-710.7152245907133
2zda_132,-739.9303474413958
2zda_142,-1022.0682815203959
2zda_156,-586.7796848772049
2zda_157,-687.0633921533318
2zda_167,-1055.1813561280806
2zda_170,-1014.2056307171476
2zda_174,-799.7054131706805
2zda_182,-799.6273464235758
2zda_192,-781.6502837526801
2zda_196,-660.2148200706785
2zda_2,-887.618494918137
2zda_205,-860.762022605765
2zda_212,-888.0793838414506
2zda_218,-819.7311342275101
2zda_224,-782.4655338622615
2zda_23,-981.4004678174367
2zda_232,-908.8229608888776
2zda_255,-1069.3490114372323
2zda_259,-943.2498430090357
2zda_262,-840.9456065835244
2zda_264,-960.8868235838695
2zda_266,-1029.9865965853817
2zda_27,-885.3005344794124
2zda_270,-1042.6437711214755
2zda_272,-900.8009156544784
2zda_274,-1076.572174194385
2zda_277,-955.9226497209321
2zda_289,-999.2297678610656
2zda_29,-979.0144577764435
2zda_295,-965.0481784999137
2zda_299,-974.246243516245
2zda_302,-716.0240401025418
2zda_311,-875.4001511322236
2zda_338,-768.6101779304677
2zda_345,-734.7100863328706
2zda_379,-793.5679601497275
2zda_382,-770.875753870725
2zda_391,-774.3267292811918
2zda_393,-798.177849607092
2zda_414,-1216.3188939063368
2zda_429,-828.6715175106744
2zda_434,-1091.8180568392274
2zda_435,-1036.8952882022922
2zda_442,-1308.1594820862972
2zda_447,-1084.7245401237512
2zda_45,-687.8692415265771
2zda_470,-866.6542530695714
2zda_498,-1210.576790015002
2zda_5,-1041.82293278067
2zda_500,-1031.6575967755587
2zda_506,-829.8301782792299
2zda_525,-841.423298014556
2zda_533,-933.3424234776325
2zda_54,-750.6581921866804
2zda_558,-974.0908350817537
2zda_561,-827.6302150043426
2zda_573,-973.5336741514108
2zda_589,-893.1865281138498
2zda_615,-754.3930624998505
2zda_627,-765.3057025672889
2zda_633,-1052.9326975929082
2zda_643,-787.9569233894513
2zda_664,-750.941451948173
2zda_671,-1098.3248984335569
2zda_677,-853.761774650941
2zda_694,-866.6542530695714
2zda_698,-1002.574579017152
2zda_739,-857.1106282172701
2zda_748,-864.1427407364592
2zda_751,-913.7787143012771
2zda_753,-891.2132067287841
2zda_758,-867.4435478521945
2zda_763,-821.0679695712971
2zda_766,-966.6674090114786
2zda_767,-842.4466088485397
2zda_772,-852.1015026061636
2zda_773,-955.5612133110994
2zda_777,-795.2766294647339
2zda_80,-733.2382327979159
2zda_835,-1058.2222976041166
2zda_860,-980.1302334118648
2zda_89,-642.1064533640787
