#code,score
3f3d_211,-496.2565937265454
3f3d_251,-530.2795145750989
3f3d_255,-495.5890039702537
3f3d_287,-518.4484878121556
3f3d_295,-500.8856916907662
3f3d_319,-484.30316423731375
3f3d_33,-504.8180952832343
3f3d_363,-497.03048262315014
3f3d_377,-503.61170155350504
3f3d_401,-483.01793625083513
3f3d_424,-487.2303997917743
3f3d_433,-502.6621593027889
3f3d_435,-491.7992827227145
3f3d_444,-492.6129049207753
3f3d_450,-491.1066313052076
3f3d_454,-517.6910213151033
3f3d_457,-501.8190559635492
3f3d_464,-513.1497942718895
3f3d_469,-515.0953643761559
3f3d_477,-499.97525633929246
3f3d_482,-482.4337020696429
3f3d_484,-497.55004729418755
3f3d_500,-524.7662856364012
3f3d_516,-510.4828006692145
3f3d_526,-518.3836031676137
3f3d_529,-512.1042230957036
3f3d_554,-511.64464571532665
3f3d_574,-534.0593503533602
3f3d_588,-507.64580636782557
3f3d_591,-502.65404356979553
3f3d_596,-481.60236908428345
3f3d_601,-491.52346318196805
3f3d_614,-501.3719808108047
3f3d_62,-496.2453961169135
3f3d_629,-520.7172314568483
3f3d_634,-545.4360251484637
3f3d_644,-514.1402615949111
3f3d_653,-498.4236897305332
3f3d_663,-515.5453785754382
3f3d_666,-526.1103333811825
3f3d_682,-551.6193671252914
3f3d_692,-491.6751071262265
3f3d_771,-517.7047802585946
3f3d_774,-521.1910561536334
3f3d_775,-537.1441280041806
3f3d_787,-504.0045072123708
3f3d_791,-523.9803511728013
3f3d_797,-531.9901270446986
3f3d_798,-508.75431791926957
3f3d_99,-493.24839656302146
