#code,score
3o9i_12,-1378.9805434089672
3o9i_130,-1206.709544718763
3o9i_135,-1309.5621697117379
3o9i_141,-1511.1401989235683
3o9i_164,-1480.3315067294088
3o9i_178,-849.3026795299879
3o9i_201,-1206.7306568865051
3o9i_213,-1364.9877803299612
3o9i_215,-1395.0016870887553
3o9i_219,-1551.3834274244875
3o9i_222,-1417.8597759862494
3o9i_227,-1385.8434922780937
3o9i_228,-1466.788419138806
3o9i_229,-1335.6790237061575
3o9i_234,-1258.5960484051577
3o9i_243,-1338.312305905865
3o9i_246,-1341.2733013479658
3o9i_249,-1365.170733363675
3o9i_253,-1322.5573983274498
3o9i_255,-1314.0282246426486
3o9i_256,-1432.3346153666412
3o9i_257,-1320.855642106028
3o9i_26,-904.4573375348201
3o9i_260,-1287.7845751679133
3o9i_270,-1286.7716986474486
3o9i_274,-1414.0446447772204
3o9i_275,-1519.701835890235
3o9i_276,-1383.12704698446
3o9i_28,-961.423325962552
3o9i_283,-1272.9605780323764
3o9i_284,-1357.2812047987045
3o9i_286,-1347.2329964295834
3o9i_288,-1347.4032736424
3o9i_29,-1281.3996847907586
3o9i_292,-1373.6978420462426
3o9i_294,-1464.9817270058045
3o9i_295,-1526.5274557374794
3o9i_298,-1381.1877619636923
3o9i_30,-1343.3201091614944
3o9i_303,-1449.040714983738
3o9i_314,-1130.0016704906855
3o9i_318,-1110.6928988352558
3o9i_340,-1326.367854018628
3o9i_358,-1093.5070448502106
3o9i_359,-1399.6883409633026
3o9i_38,-1283.519365581705
3o9i_402,-1462.7580856559366
3o9i_403,-1290.394795827871
3o9i_407,-1353.162130852072
3o9i_408,-1619.3473274147243
3o9i_409,-1591.380350454225
3o9i_415,-1386.3609431935895
3o9i_417,-1311.6799682843412
3o9i_42,-836.5576961054003
3o9i_424,-1373.8124296303156
3o9i_435,-1604.7886410960111
3o9i_452,-1296.6156735750483
3o9i_454,-1257.7069986586655
3o9i_459,-1346.3610084806694
3o9i_461,-1539.2196955298325
3o9i_466,-1098.8470966372468
3o9i_467,-1525.1671658753323
3o9i_469,-1511.2235510888818
3o9i_479,-1363.3562700414461
3o9i_487,-1483.75956895369
3o9i_495,-1138.3316856303888
3o9i_496,-1327.3546013388416
3o9i_500,-1501.0130638169542
3o9i_505,-1059.1853847425964
3o9i_509,-1110.0427223238428
3o9i_525,-1344.2003876883011
3o9i_535,-1283.5735350030016
3o9i_539,-1104.6472389239216
3o9i_546,-1350.2208026033227
3o9i_557,-1103.999234103307
3o9i_569,-1635.8047193381308
3o9i_574,-1519.3307987559976
3o9i_585,-1032.1307873246583
3o9i_59,-796.958618745858
3o9i_600,-1133.662348522466
3o9i_607,-1222.0974482771376
3o9i_617,-1296.0886874175746
3o9i_624,-1359.8618163121491
3o9i_661,-1224.5757140206338
3o9i_674,-1451.2876040764527
3o9i_675,-1434.8137940364197
3o9i_678,-1151.1610117344887
3o9i_687,-1074.988625352353
3o9i_692,-1201.782115828357
3o9i_714,-1360.1080087231092
3o9i_766,-1450.1825581494538
3o9i_788,-1357.5258251605526
3o9i_795,-1514.361109034824
3o9i_859,-1128.035635319412
3o9i_860,-1546.3981999827022
3o9i_861,-1239.3553209893178
3o9i_893,-1112.1174658391546
3o9i_9,-871.3524695731413
3o9i_907,-1389.751130176033
3o9i_96,-763.5855570228572
