#code,score
4qd6_103,-674.7098551094381
4qd6_160,-733.5899293763662
4qd6_167,-712.6232009493261
4qd6_187,-579.5840860988676
4qd6_207,-776.1776078906955
4qd6_219,-849.233886090007
4qd6_230,-873.9542460576865
4qd6_265,-1077.65052895518
4qd6_268,-654.6842020029278
4qd6_276,-731.2266544568718
4qd6_290,-807.2656959682229
4qd6_294,-998.4488454448959
4qd6_298,-536.988472372941
4qd6_302,-775.9935529290765
4qd6_312,-689.043280050059
4qd6_339,-777.3310528249598
4qd6_346,-708.5209399618067
4qd6_347,-780.7002308472343
4qd6_387,-642.9180282119119
4qd6_390,-687.216760929965
4qd6_397,-631.4080746780581
4qd6_408,-1211.9729224020655
4qd6_414,-1459.2497506719703
4qd6_428,-1215.1053138068542
4qd6_429,-988.8053792234768
4qd6_44,-695.4854550661925
4qd6_448,-827.9841322332552
4qd6_449,-1243.7764840249922
4qd6_460,-1234.7506368795825
4qd6_465,-872.8785005806297
4qd6_471,-1231.1739312515151
4qd6_473,-1147.2414599762958
4qd6_475,-1096.5709097693066
4qd6_490,-785.2214194425993
4qd6_501,-1204.0144179822767
4qd6_507,-642.0905504658913
4qd6_511,-1126.2230548727055
4qd6_516,-1164.1897525783652
4qd6_518,-840.1908294727755
4qd6_519,-703.1166688822184
4qd6_520,-794.1239504068761
4qd6_528,-840.1371684444624
4qd6_529,-304.7994011026601
4qd6_540,-377.59517165619707
4qd6_547,-826.7884668984503
4qd6_568,-536.4733019914324
4qd6_573,-715.2802799352047
4qd6_574,-611.5341210230796
4qd6_578,-844.9557153486261
4qd6_58,-819.8169290337257
4qd6_588,-673.7841345944013
4qd6_593,-763.5728356955707
4qd6_6,-638.3056588385508
4qd6_612,-689.2173778748264
4qd6_614,-827.8535774232979
4qd6_62,-687.4566237525455
4qd6_621,-805.9226481128359
4qd6_623,-991.3782434589715
4qd6_639,-884.2835531419271
4qd6_642,-892.7957285030474
4qd6_653,-840.6216184757177
4qd6_671,-873.2181778815198
4qd6_673,-1418.7743399509625
4qd6_674,-626.2846677705104
4qd6_675,-671.8836313654177
4qd6_678,-825.4500988245486
4qd6_681,-743.090064009105
4qd6_683,-791.9337187613468
4qd6_687,-1282.3244210113814
4qd6_700,-722.280341679328
4qd6_707,-701.8277501987695
4qd6_708,-718.7105779245501
4qd6_709,-681.649923067271
4qd6_714,-718.3518775332972
4qd6_737,-666.8111333190147
4qd6_790,-736.6962200101776
4qd6_82,-667.2891799486149
4qd6_825,-798.4525834951328
4qd6_835,-714.2606474835292
4qd6_84,-709.0797779736155
4qd6_847,-669.6385693016808
4qd6_85,-744.9943456786003
4qd6_925,-791.7247986057033
4qd6_934,-806.1148396404664
4qd6_939,-810.5909032836602
4qd6_942,-799.4948026582941
4qd6_948,-752.199413848513
4qd6_954,-820.4942154032744
4qd6_958,-840.8672273521714
4qd6_960,-794.2357533339963
4qd6_971,-792.085289060355
4qd6_975,-759.0086461139942
4qd6_978,-748.9736314533885
