#code,score
3jvs_206,-232.31833162445932
3jvs_226,-281.035555523863
3jvs_229,-279.5380492210174
3jvs_234,-245.89975477221125
3jvs_235,-248.75227291864294
3jvs_246,-271.1601222049113
3jvs_253,-293.79170566615437
3jvs_269,-236.7309197885999
3jvs_275,-277.46340065696063
3jvs_299,-242.68094718281395
3jvs_377,-210.3017028001859
3jvs_405,67.05092613707654
3jvs_411,-101.03700798820759
3jvs_419,-103.40567961952745
3jvs_424,28.50349332864467
3jvs_426,-45.73032324643867
3jvs_435,-165.89692530867
3jvs_441,196.25597554154325
3jvs_443,166.6213320495835
3jvs_449,508.6509685918566
3jvs_454,135.26200153118992
3jvs_467,179.29910499164228
3jvs_469,730.6923460059063
3jvs_483,107.49674561208967
3jvs_489,-9.693288767179059
3jvs_490,313.2033100913146
3jvs_492,122.6316009353521
3jvs_502,-232.6410451334577
3jvs_513,-79.1284845749219
3jvs_524,-146.99226287009105
3jvs_546,-157.5767892734874
3jvs_555,-112.84503964530816
3jvs_56,9757.792657387918
3jvs_583,-262.5671916613468
3jvs_587,-176.82926783183615
3jvs_593,150.84533719559954
3jvs_613,-192.76298612626422
3jvs_614,288.6406275426643
3jvs_616,-59.689354565799945
3jvs_617,-156.72993490710627
3jvs_623,-123.31317528344687
3jvs_626,345.24340176036185
3jvs_640,-207.93054979706363
3jvs_642,132.19063833573853
3jvs_651,-128.6896197032084
3jvs_658,-174.8656538008721
3jvs_666,-180.47236807147968
3jvs_680,-17.189365277970023
3jvs_688,-167.37349371908982
3jvs_694,-179.82179552915667
3jvs_698,-82.41319892271791
3jvs_703,-334.5082567193741
3jvs_707,-305.1713287190065
3jvs_740,-245.47026076632082
3jvs_742,-288.62532922620767
3jvs_758,-218.71796199830524
3jvs_762,-199.67732212622357
3jvs_769,-314.5012221575428
3jvs_785,-295.8389162235788
3jvs_800,-234.642359635166
3jvs_804,-300.80745573904335
3jvs_806,-288.6343822389227
3jvs_812,-247.22351650558403
3jvs_815,-281.6501247794169
3jvs_817,-292.5669887802506
3jvs_82,-235.50749061573242
3jvs_822,-234.2981699687109
3jvs_824,-261.0614164271656
3jvs_830,-279.15711653235513
3jvs_831,-243.074784566801
3jvs_832,-271.7034465468828
3jvs_838,-238.58367157513223
3jvs_840,-266.0084825327873
3jvs_846,-248.16492815746724
3jvs_847,-232.54376925153093
3jvs_856,-207.6344530907579
3jvs_860,-263.31260280782624
3jvs_867,-263.83510037110364
3jvs_868,-306.9057881525694
3jvs_869,-278.31550834418965
3jvs_884,-325.7363248362543
3jvs_895,-367.887313938519
3jvs_897,-338.194538135352
3jvs_9,-243.5074629044455
3jvs_904,-284.38630593949836
3jvs_916,-338.8121956171283
3jvs_957,-248.58177528555473
3jvs_963,-220.8810721408208
3jvs_973,-272.9802801804647
