#code,score
3r88_131,-221.60250348669598
3r88_201,-215.25683891553987
3r88_213,-237.73871646689895
3r88_220,-215.90418341072055
3r88_229,-233.04062126517476
3r88_234,-233.0698161334626
3r88_241,-223.5188408951105
3r88_254,-223.66470845639952
3r88_255,-240.38383527487295
3r88_263,-226.4728055042614
3r88_270,-208.57800530469362
3r88_278,-217.42324954090213
3r88_279,-233.03626414679377
3r88_291,-240.73678145009492
3r88_300,-205.51505950176895
3r88_371,-231.22343808309247
3r88_377,-178.90274887579656
3r88_405,-151.96435664516073
3r88_434,-201.6445501583998
3r88_439,-199.60776252755323
3r88_440,-181.751204664395
3r88_452,-181.07247237108845
3r88_454,-151.91131868822458
3r88_463,-182.34019494008461
3r88_468,-147.34340686727683
3r88_470,-33.92151969144632
3r88_471,-169.66812460851924
3r88_495,-190.21512566295297
3r88_500,-172.5284893062713
3r88_507,-175.00667753571335
3r88_510,-188.44628931719822
3r88_513,-212.91490429905377
3r88_517,-167.68752786326124
3r88_524,-107.44369936349806
3r88_527,-115.85838456268142
3r88_533,-200.6682080589677
3r88_537,-188.65069479469255
3r88_545,-27.456876643462067
3r88_551,-147.70053321511108
3r88_553,-41.656797086271425
3r88_555,-160.63738101548807
3r88_561,-145.58413174412513
3r88_566,156.546796102809
3r88_571,-168.1694674672323
3r88_577,-166.7075567911774
3r88_582,-170.58304117149464
3r88_589,-144.7798366784623
3r88_591,-162.63719971917516
3r88_594,-156.28888939107523
3r88_596,-202.58319557982014
3r88_599,-160.94322255392137
3r88_613,-140.4960769573145
3r88_617,-113.05634377308091
3r88_628,-190.62095423328293
3r88_632,-221.65534465576113
3r88_634,-186.3157671438446
3r88_638,-121.07314200328337
3r88_656,-169.0213827925252
3r88_657,-32.229685774250214
3r88_672,44.36208856326371
3r88_695,-77.13878377652688
3r88_696,6.96818315099771
3r88_699,-153.22316563755595
3r88_713,-174.4569554490628
3r88_718,-217.8702968161946
3r88_725,-175.97991334280417
3r88_736,-142.5874599990951
3r88_741,-171.40253188603023
3r88_753,-212.59478299828154
3r88_763,-172.25599398220677
3r88_769,-167.87055282619386
3r88_773,-165.90009805649512
3r88_780,-113.07601736153984
3r88_784,-147.02262789459834
3r88_787,-144.38688128633848
3r88_792,-136.58477782709537
3r88_795,-133.88706664174185
3r88_798,-166.3771486999386
3r88_799,-127.3013314201882
3r88_802,-221.70667668494409
3r88_833,-207.11314460021418
3r88_861,-213.20474882079654
3r88_880,-160.05718416400393
3r88_883,-170.5134216970214
3r88_924,-188.47553531938667
3r88_931,-205.39201985099015
3r88_986,-163.52009242063966
3r88_994,-179.1664394409937
3r88_995,-146.88917385953027
