#code,score
3pww_152,-7938890.946264344
3pww_200,-9636369.15348303
3pww_236,-8144962.30368641
3pww_256,-8975045.312621405
3pww_269,-8772197.504894294
3pww_280,-7885196.009257294
3pww_312,-5994570.462236058
3pww_320,-6811721.592348555
3pww_322,-7619948.043256077
3pww_324,-8800036.022031607
3pww_342,-5542538.409652683
3pww_343,-9276778.344366657
3pww_364,-9894658.969008267
3pww_394,-8687429.410544323
3pww_401,-13448489.311819002
3pww_404,-14978091.96593211
3pww_405,-19628153.14587505
3pww_410,-14127418.161471618
3pww_411,-15727914.38733787
3pww_416,-18527272.212980084
3pww_417,-18461387.6001161
3pww_420,-10777479.033546414
3pww_421,-18418481.40574295
3pww_425,-12197398.747881135
3pww_439,-13950194.967013463
3pww_440,-21215023.879994657
3pww_449,-14521768.41245692
3pww_452,-21136759.155330088
3pww_461,-15028552.437524794
3pww_463,-16414245.021696592
3pww_466,-13464451.58174984
3pww_468,-14741769.884975413
3pww_478,-30087581.313025147
3pww_482,-20541024.55684198
3pww_484,-19970672.903691992
3pww_487,-18107225.13905875
3pww_489,-13398351.284944776
3pww_494,-16606280.527601039
3pww_501,-11593400.892693454
3pww_516,-12273156.722121807
3pww_541,-12936437.353962658
3pww_545,-15163373.410298312
3pww_549,-10838477.206175407
3pww_552,-13179871.942297963
3pww_560,-8310794.05908917
3pww_561,-15503753.300508918
3pww_565,-9791427.232186273
3pww_570,-15862421.740141675
3pww_571,-7954654.040025136
3pww_574,-14239110.067924438
3pww_575,-11771424.416559177
3pww_581,-8063152.309587437
3pww_584,-9285304.869220203
3pww_605,-8207315.6108638095
3pww_631,-6589520.667072441
3pww_635,-17265158.38067778
3pww_654,-12476683.999358436
3pww_658,-18250955.319744553
3pww_667,-10004075.513204569
3pww_671,-11012457.693048226
3pww_678,-8244028.695117448
3pww_685,-21968159.0261815
3pww_708,-8966804.335467998
3pww_730,-9112063.084413074
3pww_742,-8712349.234449958
3pww_747,-9391195.310228923
3pww_749,-8835927.284937631
3pww_753,-8751145.259939585
3pww_757,-9967695.267226627
3pww_762,-9901871.970704947
3pww_765,-9194531.541356849
3pww_767,-9380747.212577404
3pww_772,-9745935.334159767
3pww_779,-8623762.598366763
3pww_780,-9062454.276631437
3pww_783,-10019682.250594756
3pww_793,-9761758.347105242
3pww_816,-9065812.512170007
3pww_822,-10066142.099854993
3pww_846,-9062478.975504966
3pww_854,-9467338.124321274
3pww_859,-8960198.698380023
3pww_862,-8968419.607560826
3pww_867,-8510091.062980138
3pww_874,-9492507.086555585
3pww_885,-9688066.549775803
3pww_888,-9192409.782021947
3pww_889,-9630153.029373195
3pww_90,-5734826.697128013
3pww_958,-9480669.132823737
3pww_982,-11159735.257737055
