#code,score
4f2w_101,-6015496.734968354
4f2w_105,-6745378.79300408
4f2w_121,-5337806.327002256
4f2w_122,-6808475.038143929
4f2w_124,-7261787.573164205
4f2w_136,-5423125.3717999
4f2w_142,-6504473.42559796
4f2w_144,-5890116.909001458
4f2w_147,-5291350.963365645
4f2w_151,-5452146.281030096
4f2w_154,-5553608.595894262
4f2w_155,-5681721.795231095
4f2w_163,-5336245.831493788
4f2w_187,-5053220.115551274
4f2w_198,-5715034.140158647
4f2w_264,-6833770.687455896
4f2w_360,-6609600.378360252
4f2w_407,-13111941.283080561
4f2w_420,-8834987.97790311
4f2w_428,-10410405.639548788
4f2w_431,-9155583.361729987
4f2w_435,-11011366.994227134
4f2w_436,-16473434.563333677
4f2w_437,-8557519.208366122
4f2w_439,-7437526.528164791
4f2w_442,-8066822.552306405
4f2w_45,-5987516.957761857
4f2w_454,-7464387.50398343
4f2w_465,-9562221.787821159
4f2w_467,-9803902.924491534
4f2w_468,-8614714.612734789
4f2w_473,-9991959.905239947
4f2w_474,-8881555.793768516
4f2w_476,-8856765.3536843
4f2w_480,-10296345.008206872
4f2w_482,-7742589.123982074
4f2w_484,-8564939.600033646
4f2w_486,-8430351.716426156
4f2w_519,-7045129.428361151
4f2w_521,-6291500.604053923
4f2w_523,-6412930.715339133
4f2w_542,-7829141.206254245
4f2w_543,-7342154.176664213
4f2w_552,-6567912.967627438
4f2w_559,-9148142.166677877
4f2w_562,-7952582.720704594
4f2w_567,-7879254.75896998
4f2w_571,-8344457.451733412
4f2w_581,-7674148.3363338215
4f2w_582,-7158009.863377901
4f2w_585,-6515052.618849208
4f2w_586,-7932038.7192349965
4f2w_589,-8364378.47132988
4f2w_597,-7560723.182766319
4f2w_608,-7910212.894850307
4f2w_620,-8303330.810368103
4f2w_631,-10653667.77002096
4f2w_638,-7331923.608298735
4f2w_657,-7553237.246135874
4f2w_658,-8301088.343403568
4f2w_66,-4314736.095656242
4f2w_664,-7663933.032238154
4f2w_665,-7017443.082652508
4f2w_671,-8544048.973318828
4f2w_687,-6109701.276029295
4f2w_725,-6808817.506150124
4f2w_749,-7243312.499515634
4f2w_770,-7567687.7082580365
4f2w_796,-6788507.612314897
4f2w_825,-6839457.6069773
4f2w_901,-6633806.131531067
4f2w_907,-6522216.363846995
4f2w_917,-6668478.108021366
4f2w_922,-6724210.823604023
4f2w_979,-6791719.269677011
