#code,score
3rr4_13,-744.5072270751187
3rr4_2,-711.664878248611
3rr4_315,-710.443875828514
3rr4_369,-810.4290882864001
3rr4_401,-694.9917526180311
3rr4_418,-654.7773610083073
3rr4_426,-664.3825917122743
3rr4_431,-629.3058667854212
3rr4_436,-855.7285560370882
3rr4_437,-864.3174135287605
3rr4_449,-755.8223772461416
3rr4_454,-795.6938452219408
3rr4_458,-727.3961430697644
3rr4_466,-801.3751963497554
3rr4_476,-823.9203407364242
3rr4_479,-814.7645505832144
3rr4_492,-749.106648867616
3rr4_500,-712.8771527501534
3rr4_523,-799.9045592617148
3rr4_529,-645.3421468995951
3rr4_575,-668.7850589438883
3rr4_578,-794.4949971259053
3rr4_582,-702.6283174009653
3rr4_591,-752.002676945176
3rr4_592,-458.6762105250821
3rr4_596,-71.2721973765562
3rr4_62,-757.7557012169822
3rr4_641,-784.9968451781446
3rr4_648,-852.5843727580465
3rr4_663,-770.6306683758501
3rr4_664,-757.6851777006336
3rr4_669,-736.4369661069169
3rr4_680,-837.5608670759917
3rr4_694,-755.5206314127477
3rr4_701,-793.6874771859165
3rr4_703,-770.8226676163825
3rr4_708,-709.5500171048534
3rr4_715,-604.349872245062
3rr4_716,-593.7872507432575
3rr4_718,-584.251961641762
3rr4_722,-547.6742076664934
3rr4_724,-555.8189601623584
3rr4_729,-462.6982304684252
3rr4_73,-738.9396929039393
3rr4_730,-649.8754477930433
3rr4_731,-606.4647434525921
3rr4_735,-587.7758909709587
3rr4_739,-477.7173440870691
3rr4_746,-412.3947491137388
3rr4_747,-513.5975934979866
3rr4_749,-474.59530535380264
3rr4_752,-500.7594009606815
3rr4_758,-409.1243076900587
3rr4_760,-476.6337832177525
3rr4_761,-495.6410568724985
3rr4_763,-443.7831963242168
3rr4_764,-317.7332178485454
3rr4_765,-527.3153392321794
3rr4_766,-527.6238235695572
3rr4_767,-522.0764104869688
3rr4_768,-613.5158644231757
3rr4_769,-594.5311800179447
3rr4_771,-613.0208788500403
3rr4_773,-476.10531657938424
3rr4_774,-563.7521114791626
3rr4_784,-831.8515710996846
3rr4_786,-731.2838247171162
3rr4_790,-694.1620915510586
3rr4_791,-626.2374562818836
3rr4_795,-652.5323897186652
3rr4_806,-627.1534662116924
3rr4_814,-453.9398230465767
3rr4_831,-551.5803126941452
3rr4_837,-546.0936840931255
3rr4_839,-523.7833432419802
3rr4_849,-596.6069126930045
3rr4_85,-831.1699878367884
3rr4_851,-562.5025468272994
3rr4_853,-556.4355566429682
3rr4_863,-478.0771057759593
3rr4_869,-581.6064269287879
3rr4_875,-564.8860953807426
3rr4_884,-765.4227322034247
3rr4_89,-791.5078106265943
3rr4_891,-521.103223607471
3rr4_898,-726.2205991148397
3rr4_913,-635.4789402584877
3rr4_922,-635.6790960463602
3rr4_938,-634.7839809685144
3rr4_949,-575.7034304545807
3rr4_95,-730.2984172524598
3rr4_950,-611.9945220004226
3rr4_955,-507.8019373983805
3rr4_964,-615.195333641927
3rr4_972,-581.9768456085195
3rr4_975,-746.9530586348568
3rr4_99,-703.9451300371628
