#code,score
1uto_10,-207.5500006997783
1uto_203,-204.68520498054278
1uto_24,-213.08771206914963
1uto_290,-170.07934272902924
1uto_36,-216.26435909051904
1uto_414,-142.5187833043035
1uto_428,-194.11002015664727
1uto_451,-175.79643698700266
1uto_494,-59.38659252109737
1uto_495,-191.6625436324854
1uto_521,-189.12594947457043
1uto_547,-149.0838889769986
1uto_549,-130.60955622439138
1uto_563,-129.35567426017772
1uto_564,-172.0047670238084
1uto_569,-135.35819631188716
1uto_577,-110.45982838034124
1uto_580,-118.4815356258121
1uto_593,-98.720716120951
1uto_594,-136.4117686444505
1uto_640,-151.3077438049551
1uto_686,-117.10779080204493
1uto_688,-107.70203260175136
1uto_698,-75.93136322606611
1uto_738,-149.02918111068823
1uto_743,-173.75676972362774
1uto_752,-150.9375170422435
1uto_757,-152.79484235568225
1uto_762,-134.4268110209708
1uto_765,-149.64004390475043
1uto_768,-133.2307554831967
1uto_770,-117.40123701346114
1uto_772,-116.72014168855041
1uto_774,-143.98911468909466
1uto_775,-101.34169934478128
1uto_777,-140.64230288367585
1uto_783,-102.55116726691686
1uto_784,-124.06720019085594
1uto_785,-106.93585085214671
1uto_786,-130.94506125564772
1uto_789,-177.07056182167042
1uto_790,-104.26662752196803
1uto_791,-139.28313141761078
1uto_792,-139.5361238323195
1uto_823,-233.90229644368063
1uto_826,-207.1391591251648
1uto_834,-212.10931152454228
1uto_837,-209.86859113567144
1uto_841,-210.48863989546908
1uto_877,-108.9410839601391
1uto_878,-212.8789380805674
1uto_885,-135.97236114154842
1uto_887,-150.56039686557085
1uto_918,-216.68639136735254
1uto_962,-215.56943690870207
1uto_965,-210.03257489862793
1uto_966,-211.7646432921037
1uto_971,-154.23235210837643
1uto_972,-209.90336527063997
1uto_991,-214.65408927702418
