#code,score
4ea2_216,-430.3205090236214
4ea2_226,-506.4606728737534
4ea2_232,-427.81801224658795
4ea2_238,-450.77114034640937
4ea2_25,-515.3485155027851
4ea2_270,-428.60032233213207
4ea2_364,-536.9830378377098
4ea2_407,31.75216690400953
4ea2_408,-143.83729025427263
4ea2_411,-325.4763177028128
4ea2_442,-55.08799888615019
4ea2_444,-58.2919678846707
4ea2_456,-57.01030325084848
4ea2_485,153.66552908838247
4ea2_499,200.24938436103727
4ea2_526,-133.32289207549485
4ea2_53,-430.80734190008116
4ea2_530,-67.66704853479129
4ea2_531,-73.26581523300227
4ea2_534,647.5211488766711
4ea2_539,-68.16777151473761
4ea2_555,-98.79052750320855
4ea2_565,-48.922593452985915
4ea2_568,-275.32503193012747
4ea2_576,-60.43585943032528
4ea2_58,-431.28152167321457
4ea2_59,-452.6568498865386
4ea2_592,-210.89004718855062
4ea2_598,-235.39764487388888
4ea2_603,357.1858746911976
4ea2_607,-241.17890337423233
4ea2_615,-22.472370510180706
4ea2_617,-186.60419066263393
4ea2_619,115.86707179683744
4ea2_621,-48.07980573802837
4ea2_625,23.50630608056922
4ea2_639,-62.81850468036063
4ea2_640,-103.17774389513657
4ea2_645,-71.55863273907201
4ea2_653,-124.54748332209606
4ea2_661,-299.9016880603066
4ea2_662,-126.14553119847137
4ea2_663,-23.024976011259586
4ea2_666,278.39797022752987
4ea2_671,-117.2539937545138
4ea2_673,-244.71127446618252
4ea2_678,-304.5221572643038
4ea2_684,-19.718128963771647
4ea2_688,-146.19531781284428
4ea2_692,-203.40409408082417
4ea2_696,-301.79094711831624
4ea2_698,-159.79044685865998
4ea2_72,-431.2569702138995
4ea2_722,-577.5114821929344
4ea2_737,-531.2327232989131
4ea2_748,-476.13302494826587
4ea2_749,-414.9727079774443
4ea2_77,-418.46831704931503
4ea2_775,-402.0662144871842
4ea2_785,-384.49830976885283
4ea2_787,-412.17472208941774
4ea2_793,-416.81063879428626
4ea2_794,-420.82943223949525
4ea2_798,-432.44303749582633
4ea2_809,-523.6485740774338
4ea2_819,-545.5949268332222
4ea2_867,-485.1304122114912
4ea2_895,-500.0542288641801
4ea2_96,-387.7205203268337
4ea2_961,-528.49736026427
4ea2_998,-522.4062180447742
