#code,score
2wca_144,103367.09675000001
2wca_161,106589.57974999998
2wca_173,96363.25975
2wca_20,94924.51574999999
2wca_201,97521.64675000001
2wca_206,93232.58675
2wca_219,94827.01675000001
2wca_225,89423.42475000002
2wca_23,93152.60775000001
2wca_235,83663.63775000001
2wca_241,93642.67074999999
2wca_254,98155.08475000001
2wca_264,89916.21475000001
2wca_267,91106.76975000002
2wca_269,94490.45875
2wca_273,88067.74675
2wca_281,92796.23575
2wca_287,94826.04675000001
2wca_37,91192.95575
2wca_414,147506.81675
2wca_417,90823.53915000001
2wca_444,102841.45675000001
2wca_478,89260.35875
2wca_483,99772.55375
2wca_488,90131.45274999998
2wca_496,86381.65715
2wca_5,88080.79975000002
2wca_545,87726.23574999999
2wca_550,95157.39615000002
2wca_564,84662.735
2wca_575,137339.61214999997
2wca_585,90332.49775000001
2wca_586,94206.39775
2wca_587,141920.63975
2wca_592,146855.66014999998
2wca_596,90595.51574999999
2wca_599,101023.54815000002
2wca_600,98531.60515
2wca_610,134254.21975
2wca_613,138436.17914999998
2wca_616,87486.56615000003
2wca_638,89278.60574999999
2wca_65,89592.90574999999
2wca_653,92708.18075
2wca_657,136093.82275
2wca_662,91784.46815000002
2wca_674,103419.515
2wca_679,87435.02075
2wca_692,142462.03475
2wca_700,92149.46275
2wca_72,87929.35475000001
2wca_731,151120.48875
2wca_745,103523.582
2wca_755,88959.41574999999
2wca_760,97929.71675
2wca_773,93187.83975
2wca_786,89340.53074999999
2wca_788,94212.76775
2wca_791,89564.17375
2wca_81,148378.84115
2wca_816,106508.84175
2wca_82,85594.86575000001
2wca_829,141114.02375
2wca_851,144818.37175
2wca_853,88914.04574999999
2wca_855,137126.70174999998
2wca_887,93149.98775
2wca_90,90039.43115000002
2wca_903,104018.02175000001
2wca_908,99923.64199999999
2wca_92,85774.21575000002
2wca_925,146055.61115
2wca_936,93258.58875
2wca_951,98882.64475000002
2wca_960,139083.28175
2wca_961,98137.035
2wca_965,94611.11275
2wca_971,102255.68175
2wca_974,145352.11115
2wca_983,141074.54875
