#code,score
3u8k_110,98148.16775000001
3u8k_147,97025.562
3u8k_224,98220.46200000001
3u8k_362,98218.02200000001
3u8k_408,95294.16200000001
3u8k_412,89249.142
3u8k_420,90078.892
3u8k_422,98749.37199999999
3u8k_424,98621.45775
3u8k_426,90018.23775
3u8k_444,93351.32375
3u8k_448,90215.91200000001
3u8k_456,91603.965
3u8k_463,92498.85175
3u8k_475,94685.987
3u8k_479,98218.02200000001
3u8k_481,89705.70775
3u8k_494,99053.23375
3u8k_499,90560.38675
3u8k_512,98114.03775
3u8k_524,95028.38100000001
3u8k_529,92679.91875
3u8k_532,92447.45475000002
3u8k_537,98171.31775000002
3u8k_544,92346.69175000001
3u8k_549,92467.97875
3u8k_550,92382.88875
3u8k_551,94724.50275
3u8k_556,92107.77775000002
3u8k_557,94862.41699999999
3u8k_561,94553.81800000001
3u8k_563,98568.755
3u8k_564,93035.23600000002
3u8k_568,94643.71875
3u8k_569,99882.54
3u8k_573,92976.66875
3u8k_575,91828.603
3u8k_579,90348.65175
3u8k_584,95698.23300000001
3u8k_587,82310.86775
3u8k_588,92088.95600000002
3u8k_589,93220.99775000001
3u8k_593,91883.03074999999
3u8k_594,94993.74275
3u8k_607,98870.81775000002
3u8k_612,98737.755
3u8k_619,92476.74875
3u8k_631,89540.69375
3u8k_650,95011.02375
3u8k_680,93420.94300000001
3u8k_682,98380.63775000001
3u8k_683,100128.59375
3u8k_689,90165.07800000001
3u8k_717,98218.02200000001
3u8k_723,98355.48199999999
3u8k_748,94555.008
3u8k_756,92970.74875
3u8k_765,95018.36100000002
3u8k_771,92717.58875
3u8k_773,92825.46175
3u8k_775,92466.45475000002
3u8k_776,94974.987
3u8k_777,94685.513
3u8k_780,91035.56175000001
3u8k_782,97653.97300000001
3u8k_784,82241.43775
3u8k_787,95570.04975000002
3u8k_796,94846.72700000001
3u8k_797,99759.282
3u8k_799,97996.26775
3u8k_800,93064.16175000001
3u8k_830,98302.51200000002
