#code,score
2p15_133,-23.255603423925166
2p15_155,-23.777489210201562
2p15_216,-23.3690061672101
2p15_262,-24.026809736446406
2p15_290,-23.431414495100416
2p15_331,-23.8834419542399
2p15_344,-23.969929553253408
2p15_402,-23.175305543108742
2p15_404,-23.67234211156188
2p15_407,-23.564814449583817
2p15_414,-23.556856789020706
2p15_415,-23.23320467358902
2p15_425,-23.439231409352956
2p15_427,-23.67234390965552
2p15_435,-24.134163219224746
2p15_437,-23.64725387523578
2p15_446,-24.007397954970443
2p15_453,-23.027135909257883
2p15_456,-22.974115146655105
2p15_460,-23.542431771216446
2p15_466,-23.592454587102154
2p15_471,-23.52130231831774
2p15_478,-23.391724718832243
2p15_479,-23.805140996263233
2p15_480,-24.04708508427685
2p15_481,-23.817786246580855
2p15_489,-23.501736527070804
2p15_493,-23.968619281063333
2p15_496,-22.987742800612008
2p15_546,-23.40254628097897
2p15_550,-22.949026717917604
2p15_557,-23.768540554472025
2p15_567,-24.12480379177638
2p15_568,-23.53896230467608
2p15_569,-23.02707571229273
2p15_578,-23.35529713996125
2p15_579,-23.42128910231398
2p15_582,-23.700239791666476
2p15_589,-23.841290291820155
2p15_590,-23.461416111922052
2p15_591,-23.226110653909256
2p15_592,-23.89448480383917
2p15_598,-23.1996252900721
2p15_600,-23.674979669044387
2p15_645,-23.556288523426122
2p15_678,-23.953771981169535
2p15_687,-22.65985669281796
2p15_699,-23.919151728279203
2p15_700,-23.519333941205605
2p15_765,-23.16398682837224
2p15_801,-23.805071235054967
2p15_850,-24.175477244443805
2p15_87,-23.421982818236714
