#code,score
2zcr_187,-21.931415258553507
2zcr_216,-23.828204481391666
2zcr_273,-21.777438393945058
2zcr_28,-23.03479383394693
2zcr_283,-21.28359159153433
2zcr_294,-21.95565959458942
2zcr_296,-21.240827714994627
2zcr_318,-21.460174255588523
2zcr_324,-23.651458120476246
2zcr_33,-21.970299378710717
2zcr_351,-20.387116899628897
2zcr_358,-24.113709012751382
2zcr_37,-21.374032984539884
2zcr_383,-24.99390937785907
2zcr_398,-22.362047027192926
2zcr_407,-22.862076359494445
2zcr_409,-21.481614881758198
2zcr_418,-23.60227526597386
2zcr_422,-22.51920822406422
2zcr_423,-22.125819001461434
2zcr_424,-22.39118617735478
2zcr_429,-24.059860345066177
2zcr_437,-23.65099235698025
2zcr_438,-24.12064519573898
2zcr_440,-22.55772057738744
2zcr_444,-25.217307670610893
2zcr_447,-24.194246912670547
2zcr_452,-24.20129221117777
2zcr_453,-22.497081096890803
2zcr_460,-23.630754506490504
2zcr_464,-21.4214070061683
2zcr_465,-21.565141427993566
2zcr_466,-22.88403206727409
2zcr_468,-24.30198082903095
2zcr_474,-24.27369544538676
2zcr_475,-23.887403550711205
2zcr_495,-21.31705930536179
2zcr_500,-24.245982672721958
2zcr_52,-23.044970197039014
2zcr_543,-22.18284801119562
2zcr_548,-21.237735180043643
2zcr_557,-24.486593586963377
2zcr_578,-24.188051714322146
2zcr_580,-22.741477831053338
2zcr_589,-21.959466482094413
2zcr_591,-23.455136753568098
2zcr_603,-22.293219478953862
2zcr_625,-25.43628936741175
2zcr_634,-24.432267874640402
2zcr_636,-22.362368880101474
2zcr_658,-24.040536866175785
2zcr_664,-21.905553710698285
2zcr_678,-23.386089103846757
2zcr_699,-21.80674792997908
2zcr_709,-22.338096063779012
2zcr_721,-23.03773808349693
2zcr_723,-22.475937318970203
2zcr_730,-21.742801775124814
2zcr_737,-21.995177944061215
2zcr_746,-22.635089556061594
2zcr_75,-21.25901628554033
2zcr_762,-23.33052576942378
2zcr_765,-23.867517280622433
2zcr_767,-24.505110627435652
2zcr_769,-22.68916812270522
2zcr_772,-21.961587254763213
2zcr_776,-22.592418918505754
2zcr_777,-21.654140639201124
2zcr_778,-21.48354155322722
2zcr_780,-23.909671690401897
2zcr_781,-22.277861950573485
2zcr_782,-21.39489145751645
2zcr_783,-21.137558637118044
2zcr_786,-22.91259457733058
2zcr_787,-23.537622786234543
2zcr_788,-22.325553242865766
2zcr_8,-24.326333529339408
2zcr_80,-21.374032984539884
2zcr_834,-22.35832113552012
2zcr_846,-22.317227844762456
2zcr_869,-22.89642427243199
2zcr_877,-22.41763335104161
2zcr_882,-23.151641638130485
2zcr_883,-21.643764080338652
