#code,score
3f3c_223,-22.937389623685455
3f3c_256,-22.81335992226859
3f3c_258,-22.81335992226859
3f3c_29,-23.82418457481072
3f3c_326,-22.74794313705045
3f3c_38,-23.523524237079343
3f3c_401,-23.51360169981449
3f3c_407,-22.440987210086014
3f3c_411,-23.460863409628747
3f3c_413,-23.868455833508005
3f3c_419,-23.404727562999987
3f3c_430,-22.70238955419651
3f3c_442,-23.091791073835125
3f3c_453,-23.07786977494816
3f3c_456,-23.5254697842149
3f3c_458,-23.865788419894773
3f3c_459,-23.475749940327127
3f3c_463,-23.811327462073304
3f3c_466,-23.946683855661732
3f3c_469,-23.77527430817147
3f3c_471,-23.746850098849396
3f3c_472,-23.930152193227585
3f3c_474,-23.856822033945964
3f3c_475,-23.46326068584434
3f3c_480,-23.15090941566707
3f3c_485,-23.580595313908766
3f3c_491,-23.222530990152055
3f3c_496,-23.467499363483867
3f3c_499,-23.771697327626757
3f3c_507,-23.69910975834903
3f3c_508,-23.305708614546873
3f3c_510,-23.860243441679938
3f3c_523,-22.779833502616786
3f3c_542,-23.81201219884713
3f3c_544,-22.507527370397842
3f3c_545,-24.022443866104826
3f3c_555,-23.73144125181409
3f3c_572,-23.63970780168074
3f3c_585,-23.478031652125647
3f3c_586,-24.199466100675863
3f3c_587,-23.439918063514593
3f3c_599,-24.12685312974781
3f3c_628,-23.847275079293173
3f3c_635,-24.270201161974683
3f3c_665,-23.81524754640148
3f3c_686,-24.127670429772042
3f3c_696,-22.99022188463679
3f3c_735,-23.375816523957663
3f3c_775,-23.1013066678672
3f3c_779,-23.534137727476946
3f3c_788,-24.33696562013751
3f3c_789,-24.166660774459586
3f3c_790,-24.168450183127256
3f3c_791,-24.166660774459586
3f3c_792,-24.166660774459586
3f3c_799,-24.274712636864756
