#code,score
3up2_100,144765.59327266665
3up2_106,145220.62612266667
3up2_112,136802.17020666663
3up2_113,137358.5325366666
3up2_156,146063.57899666668
3up2_160,137952.24977333334
3up2_167,138827.80987333335
3up2_168,138061.40637333333
3up2_189,143276.00607933334
3up2_194,141867.21173999997
3up2_198,146799.18227933336
3up2_206,146402.78992266668
3up2_220,146659.00507933332
3up2_231,143389.981746
3up2_238,143419.08237933333
3up2_247,147022.306546
3up2_276,143400.049046
3up2_29,146603.51802266669
3up2_291,80004.639746
3up2_302,143939.607446
3up2_310,76810.36500666666
3up2_334,145201.06212266668
3up2_340,138587.86364
3up2_345,145920.58377933333
3up2_349,137908.74274
3up2_358,143378.24118933335
3up2_363,72501.49136333332
3up2_385,73330.57883666667
3up2_4,145788.58877933334
3up2_40,146760.27068933335
3up2_400,145196.07828933332
3up2_401,222478.108256
3up2_413,163212.99248933332
3up2_421,220152.83115600006
3up2_430,138723.59394000002
3up2_434,169941.17970666665
3up2_435,141360.9655066667
3up2_440,156797.33050666668
3up2_446,165551.61344
3up2_463,74976.97050666665
3up2_464,122599.21880666663
3up2_499,204231.24498933335
3up2_510,130202.048606
3up2_515,80211.80875599998
3up2_518,138449.71043666662
3up2_520,137439.16059
3up2_530,85381.99151266665
3up2_532,154084.1046226667
3up2_533,75022.38220333333
3up2_536,75173.97486999999
3up2_539,138650.25540666663
3up2_543,138944.04558666665
3up2_551,148662.68677933334
3up2_555,153381.15881266663
3up2_565,83135.06327333332
3up2_569,122031.79030666665
3up2_570,128136.91132266668
3up2_579,139355.14695999998
3up2_58,144766.44144599998
3up2_581,75578.04613666664
3up2_584,83333.75865599998
3up2_585,219597.82127933335
3up2_593,85619.57072266666
3up2_594,75047.42873666667
3up2_596,137642.57243666664
3up2_60,144424.7269726667
3up2_605,147185.11877933334
3up2_613,216806.79448933332
3up2_617,129001.64307933333
3up2_624,80415.482146
3up2_631,159936.11037933332
3up2_633,73793.42503999999
3up2_639,152369.10677933332
3up2_641,224992.30061933334
3up2_649,131437.7816893333
3up2_665,145179.008346
3up2_673,146728.19978933336
3up2_676,141309.45899666668
3up2_682,154959.26091266668
3up2_696,152145.75708933332
3up2_859,149128.80779599998
