#code,score
4w9i_110,55834.633586000025
4w9i_172,63389.66870333334
4w9i_197,61952.71810333334
4w9i_199,60083.12405666668
4w9i_204,64499.677790000016
4w9i_221,61899.613690000006
4w9i_337,45452.371826000024
4w9i_374,64598.90957000001
4w9i_388,61555.85153666669
4w9i_394,55843.677009333354
4w9i_403,53681.127570000026
4w9i_417,152021.77946333325
4w9i_424,140761.4206193333
4w9i_429,129958.4212433333
4w9i_430,117640.36148000002
4w9i_439,160446.88016999996
4w9i_440,127928.53155266667
4w9i_447,141303.9457233333
4w9i_468,137751.28664666665
4w9i_474,56710.86363600002
4w9i_476,56687.99621000002
4w9i_484,151025.56127666662
4w9i_487,138850.09309333333
4w9i_489,53539.82921333336
4w9i_491,125692.24148999999
4w9i_494,144367.4592766666
4w9i_496,130473.07297666666
4w9i_511,63647.24450333334
4w9i_512,123052.35265333329
4w9i_515,135026.74535933332
4w9i_524,46181.096176666695
4w9i_528,125159.92604333334
4w9i_534,122143.11891933331
4w9i_535,146195.02578666667
4w9i_546,127252.61556599996
4w9i_550,55287.66741000002
4w9i_551,132760.33924266664
4w9i_554,121075.71687999998
4w9i_56,61169.43053666666
4w9i_565,59919.376923333366
4w9i_567,152685.16845333332
4w9i_570,125461.66437333333
4w9i_574,133623.82990933332
4w9i_575,123241.634626
4w9i_583,49159.13133666668
4w9i_586,115400.31346266667
4w9i_587,45504.531286666686
4w9i_589,53097.98915333334
4w9i_595,157675.44855333326
4w9i_602,62144.782950000015
4w9i_611,133998.75758999996
4w9i_612,155673.10928666661
4w9i_615,59438.18915933336
4w9i_622,119471.75902666665
4w9i_626,146107.07986333332
4w9i_630,54201.82592333335
4w9i_649,61204.1831026667
4w9i_658,64599.44104333336
4w9i_670,158723.70722666662
4w9i_672,57978.37734333336
4w9i_687,134783.43907599998
4w9i_697,58897.46612266669
4w9i_698,53276.709203333354
4w9i_755,58529.37732000001
4w9i_756,64326.60813666668
4w9i_759,63250.82867000001
4w9i_761,63771.22077000001
4w9i_763,64116.62816000001
4w9i_764,62282.67037000001
4w9i_766,54158.680392666676
4w9i_768,56683.29129666668
4w9i_771,46161.6974826667
4w9i_772,60035.96570333336
4w9i_774,60363.82298666669
4w9i_776,63724.50117000001
4w9i_777,46257.085453333355
4w9i_782,55050.27198666668
4w9i_787,58688.74363666667
4w9i_789,54978.259540000014
4w9i_790,54061.678876666694
4w9i_791,46526.73555333335
4w9i_792,56465.92168666668
4w9i_793,53973.65707333335
4w9i_794,60385.94630333335
4w9i_795,61589.01440333334
4w9i_796,61382.79950333334
4w9i_801,61826.39583666667
4w9i_846,60938.122690000026
4w9i_852,61579.35552666668
4w9i_873,59986.79937000003
4w9i_879,57526.411640000035
4w9i_882,63013.888616000026
4w9i_885,61606.12517000002
4w9i_886,62165.142729333355
4w9i_890,61140.75018600002
4w9i_893,62180.110950000024
4w9i_924,60311.66281933336
4w9i_97,63221.63207
4w9i_989,61545.33391933333
