#code,score
3n76_219,-24.486875701420946
3n76_261,-24.511096661465203
3n76_279,-24.435651879177055
3n76_403,-24.77605450447452
3n76_406,-24.893124968208348
3n76_407,-24.030731552658686
3n76_419,-24.264340798146545
3n76_429,-24.505027487541124
3n76_432,-24.467156626545982
3n76_440,-24.878456365178582
3n76_441,-23.990171812307658
3n76_455,-22.96588754643466
3n76_459,-24.240954618114724
3n76_463,-24.30335459365529
3n76_466,-23.706430768554682
3n76_470,-24.60434814667759
3n76_476,-23.98195215734255
3n76_480,-24.32848857003138
3n76_483,-24.5783765771288
3n76_484,-23.04368607173072
3n76_486,-23.82882617493506
3n76_488,-24.658065240150734
3n76_491,-24.545810997111396
3n76_494,-24.276474786075013
3n76_526,-23.235339532479646
3n76_527,-24.732506057088926
3n76_539,-24.366142536766564
3n76_552,-24.296362719214287
3n76_558,-24.225987622300252
3n76_574,-24.323894937960805
3n76_577,-22.93551059279153
3n76_578,-23.087363563811913
3n76_580,-22.816096708610903
3n76_585,-23.304302369657616
3n76_586,-24.334041964181306
3n76_587,-23.316986217221853
3n76_594,-23.421311323094468
3n76_606,-23.679672287243708
3n76_620,-23.355013048881236
3n76_630,-24.286115310029004
3n76_632,-24.493635451477203
3n76_633,-23.856950542979668
3n76_641,-24.81296974214013
3n76_642,-24.385870325695358
3n76_662,-23.32750371779317
3n76_665,-23.448952115102784
3n76_676,-24.306296070690887
3n76_689,-22.76446549964416
3n76_692,-24.250546266597386
3n76_693,-24.25482441201763
3n76_695,-22.947390688452803
3n76_700,-23.267518924923404
3n76_728,-24.679366986987144
3n76_737,-24.46274563815314
3n76_749,-24.474807075531498
3n76_758,-24.34961281529188
3n76_760,-24.574462283514297
3n76_782,-24.25821021013327
3n76_878,-24.418986503319772
3n76_884,-24.497807180380427
3n76_885,-24.411484689516296
