#code,score
3uew_161,-24.88866376201956
3uew_211,-24.280694134805415
3uew_224,-24.853900756495346
3uew_229,-24.565385641268612
3uew_243,-24.47112464480972
3uew_249,-24.80383883512992
3uew_255,-24.79585193260546
3uew_281,-24.7618843430082
3uew_282,-25.205814091229648
3uew_290,-24.817931137084866
3uew_352,-24.902090752297706
3uew_404,-24.727227048928498
3uew_409,-24.702950940214738
3uew_415,-24.80383883512992
3uew_423,-24.52453499439169
3uew_431,-24.542763428466777
3uew_433,-24.61139074947964
3uew_436,-24.80383883512992
3uew_439,-24.959957306846068
3uew_444,-24.65932815693581
3uew_446,-25.024035343337957
3uew_450,-21.738524655984286
3uew_451,-24.553841734581766
3uew_454,-25.064866239555727
3uew_456,-22.581968572649103
3uew_458,-21.67146260838529
3uew_467,-24.58907489387991
3uew_471,-24.479616556169823
3uew_474,-22.421820986693923
3uew_475,-24.621999572559876
3uew_477,-24.540160218025648
3uew_481,-24.613140106825455
3uew_482,-21.793440890624453
3uew_484,-24.585207711996034
3uew_487,-22.317472730920596
3uew_488,-22.50887002673751
3uew_489,-21.737068087572705
3uew_493,-22.149374595698863
3uew_495,-21.721774849177173
3uew_508,-24.632769171257472
3uew_515,-21.921809617049355
3uew_520,-24.475337263579892
3uew_533,-24.70076241866969
3uew_537,-24.723028507665028
3uew_545,-24.717146261868333
3uew_555,-22.395420662920777
3uew_558,-24.745268586299403
3uew_564,-22.899466646574307
3uew_566,-24.745496322380355
3uew_575,-24.610096677864437
3uew_582,-24.566853461243873
3uew_583,-24.931299404637834
3uew_587,-24.660745616958963
3uew_588,-24.539272674444238
3uew_595,-24.37954537348276
3uew_603,-22.65247581145155
3uew_612,-21.740914737873183
3uew_613,-24.835340000509664
3uew_624,-22.411622851123692
3uew_644,-24.710123741923926
3uew_649,-21.75768609919544
3uew_65,-24.92835166074877
3uew_663,-22.449326213387
3uew_664,-24.689878335774697
3uew_666,-21.860873749385124
3uew_670,-24.50459367942909
3uew_672,-24.971555027947133
3uew_675,-21.825578456255027
3uew_681,-24.60806770561886
3uew_686,-24.502124344404958
3uew_697,-24.811288940497676
3uew_7,-24.645848259143815
3uew_700,-24.52625720122231
3uew_735,-24.629704929257436
3uew_740,-24.649326758844484
3uew_751,-24.833112599158074
3uew_757,-24.415307661308702
3uew_759,-24.870734234373405
3uew_780,-24.777843907675507
3uew_787,-24.821461342618726
3uew_790,-24.754302247001895
3uew_803,-24.765895672879566
3uew_844,-24.99318324405099
3uew_880,-24.91104133977841
3uew_919,-24.628262133321478
