#code,score
4dli_136,-7572375.92888693
4dli_154,-7559219.992337535
4dli_409,-8542269.255631601
4dli_414,-7823273.258740022
4dli_42,-7162346.825130718
4dli_422,-9338009.705172267
4dli_426,-7714724.710149181
4dli_431,-9193404.549575008
4dli_447,-9902440.3841375
4dli_455,-9854668.759551141
4dli_465,-9407634.60165749
4dli_481,-10048316.293990366
4dli_486,-10078172.882725896
4dli_489,-9585127.287156455
4dli_498,-8608609.554903459
4dli_501,-7719787.82938504
4dli_502,-7214472.540492559
4dli_504,-7964841.506846692
4dli_505,-8361544.663227067
4dli_521,-8243661.186455536
4dli_524,-7107974.98307823
4dli_530,-7656050.053649631
4dli_546,-5994294.859616222
4dli_547,-8570100.68655684
4dli_550,-8696508.362489942
4dli_567,-9698339.461722808
4dli_57,-7413973.171116052
4dli_571,-7892689.9570567105
4dli_573,-5968345.620664852
4dli_575,-9000622.07732641
4dli_580,-5165962.1686091395
4dli_587,-5042420.434154134
4dli_591,-5397710.310418809
4dli_594,-4767629.0470491825
4dli_595,-7064148.484863057
4dli_637,-8680030.047202796
4dli_641,-7627952.657809764
4dli_659,-10377725.79136973
4dli_660,-9708027.161037361
4dli_664,-7989439.8884786675
4dli_666,-7553819.241626105
4dli_679,-7163207.945829174
4dli_684,-7925930.7249482
4dli_693,-10071218.497528091
4dli_710,-8014332.256689338
4dli_734,-6867393.915487716
4dli_738,-7874569.4544208115
4dli_750,-7297923.323707441
4dli_756,-6378328.217177348
4dli_759,-6756515.794605589
4dli_769,-7773361.368036914
4dli_770,-5037218.0021377485
4dli_772,-6079168.848385253
4dli_776,-6143781.921006761
4dli_777,-5920306.265817738
4dli_778,-4093378.643431643
4dli_781,-4109419.9867262407
4dli_783,-5338251.027135107
4dli_784,-8699940.34058307
4dli_786,-3697864.895376155
4dli_787,-5984843.724287149
4dli_788,-4986833.7238042215
4dli_789,-8879344.38683627
4dli_792,-4807499.409227124
4dli_793,-8252222.697221726
4dli_868,-7143194.75542053
4dli_895,-7147491.904845533
4dli_948,-7546847.318637424
4dli_96,-7151759.860825359
