#code,score
4kz6_110,-4103338.029520215
4kz6_112,-3905939.8494661828
4kz6_143,-3693755.924087987
4kz6_160,-3574602.437337537
4kz6_20,-2297070.582659194
4kz6_267,-4641842.51267004
4kz6_308,-2847551.433177993
4kz6_315,-2957150.154548863
4kz6_350,-2613049.2662766017
4kz6_365,-3338834.0463159215
4kz6_373,-2783731.029326059
4kz6_389,-2873900.8184078597
4kz6_403,-5826268.0268638255
4kz6_408,-6110860.376332408
4kz6_419,-4823014.739986396
4kz6_490,-6202680.163507541
4kz6_511,-1904718.3006191805
4kz6_527,-2301152.2898738408
4kz6_529,-3089951.3844529595
4kz6_534,-2760679.2522734283
4kz6_548,-4035483.069285664
4kz6_549,-1772817.0985151033
4kz6_553,-1906636.4127242272
4kz6_588,-2164940.4252135293
4kz6_593,-1406996.1864227555
4kz6_658,-5328308.500542298
4kz6_665,-3114181.639113211
4kz6_666,-2992495.0685414756
4kz6_679,-3675299.446931408
4kz6_681,-3649548.959927498
4kz6_694,-2433239.413599349
4kz6_701,-2514727.488025011
4kz6_723,-2716727.1919961628
4kz6_726,-2485250.611771636
4kz6_731,-1944720.1393472892
4kz6_745,-3255409.910600459
4kz6_746,-2546363.492335581
4kz6_748,-2164658.029809948
4kz6_754,-1728132.2766971672
4kz6_755,-1787073.268504582
4kz6_761,-1878221.3376891715
4kz6_764,-3008357.655110684
4kz6_766,-3256081.9897113284
4kz6_768,-4861999.64932454
4kz6_772,-2337919.5370910573
4kz6_773,-2429079.3666402847
4kz6_775,-2272043.9440572322
4kz6_776,-2350694.33257539
4kz6_778,-4817267.323445485
4kz6_785,-2886129.84529519
4kz6_787,-5707481.825927712
4kz6_790,-1387047.9666964568
4kz6_796,-4516164.1672558375
4kz6_798,-4270997.332536459
4kz6_815,-3341629.8840959156
4kz6_819,-3314150.4367151298
4kz6_839,-2355929.370050564
4kz6_840,-2301010.4836627105
4kz6_853,-2829630.4110767962
4kz6_854,-3076611.8653870355
4kz6_858,-2845959.9794876496
4kz6_873,-2080596.7381220919
4kz6_874,-2999391.5809606863
4kz6_875,-1935983.5507796
4kz6_878,-4072975.4847831093
4kz6_879,-3839077.735027698
4kz6_888,-2677961.0167512977
4kz6_892,-3199891.5403314573
4kz6_895,-2775340.632914558
4kz6_897,-3892923.8804875803
4kz6_900,-2115275.042798444
4kz6_925,-3043598.6413314384
4kz6_955,-3493153.5053815595
4kz6_958,-3277111.5173094994
4kz6_960,-2654094.4849060387
4kz6_974,-3052177.5857568476
