#code,score
5tmn_117,-3032222.93478972
5tmn_125,-3652935.3145801476
5tmn_141,-2889412.1465901136
5tmn_142,-6267290.254214065
5tmn_155,-2099684.639742557
5tmn_161,-2456989.3637348334
5tmn_162,-3330326.363334693
5tmn_197,-4991083.371529402
5tmn_199,-2412445.905490571
5tmn_203,-8558164.3678353
5tmn_210,-9973034.790211866
5tmn_219,-8150937.604381838
5tmn_22,-7006647.664033541
5tmn_222,-7572625.54825749
5tmn_223,-7620961.189297211
5tmn_226,-7216933.083936607
5tmn_232,-9025726.991009083
5tmn_236,-8717831.153160546
5tmn_254,-8432809.1944135
5tmn_261,-9041826.954978244
5tmn_273,-7427596.830461514
5tmn_284,-7216706.598687343
5tmn_288,-7456211.162940307
5tmn_29,-5468635.375105952
5tmn_297,-7873886.065411979
5tmn_302,-3928821.090967485
5tmn_303,-5118648.294766856
5tmn_326,-5318731.1442870535
5tmn_35,-5000953.193622563
5tmn_357,-2578375.919711699
5tmn_362,-5246732.341401228
5tmn_375,-7512842.834667002
5tmn_38,-4716209.679802365
5tmn_452,-8799108.418886399
5tmn_462,-11897578.848866597
5tmn_464,-12504095.98813277
5tmn_465,-9963532.87978927
5tmn_468,-14555120.486442879
5tmn_498,-13126890.159112068
5tmn_513,-6670218.289408041
5tmn_518,-12639304.227825712
5tmn_526,-11521870.94945168
5tmn_535,-5284406.228573283
5tmn_537,-6317133.23714574
5tmn_540,-7444439.4806464305
5tmn_541,-5542154.57462003
5tmn_551,-8872823.556685455
5tmn_552,-8420353.389894696
5tmn_553,-11805546.151257476
5tmn_559,-5550550.81368283
5tmn_566,-11851784.57424489
5tmn_582,-4602786.614914387
5tmn_588,-14280818.674778653
5tmn_592,-5490444.177236822
5tmn_596,-7731795.596672196
5tmn_609,-10083816.979054995
5tmn_61,-5480705.989366412
5tmn_624,-11619201.959166255
5tmn_639,-4439223.99299943
5tmn_640,-8012936.393540873
5tmn_643,-4066425.067955837
5tmn_649,-10384261.468590934
5tmn_654,-13915194.595850905
5tmn_659,-10416953.094052833
5tmn_681,-10370310.805584269
5tmn_685,-8307859.69812144
5tmn_695,-9246517.390959121
5tmn_700,-8705149.98684736
5tmn_707,-6016490.771082648
5tmn_717,-7275101.900625592
5tmn_725,-7528201.554857205
5tmn_741,-5311598.231829102
5tmn_742,-5772367.5526729645
5tmn_754,-7127004.269391976
5tmn_756,-5222179.543589481
5tmn_758,-7355864.440758573
5tmn_780,-6512874.2597395675
5tmn_782,-5864414.820182837
5tmn_783,-7287593.188238715
5tmn_786,-4733053.859003592
5tmn_791,-5186636.056151904
5tmn_792,-6828668.3134113215
5tmn_797,-4397146.514789864
5tmn_799,-6329745.808037218
5tmn_858,-7149788.687335595
5tmn_870,-5685849.174082911
5tmn_88,-3996725.974952529
5tmn_892,-6719827.752217564
5tmn_950,-6948104.0920503475
5tmn_976,-6431982.102600824
5tmn_996,-7263496.292898408
