#code,score
4cra_102,-847.2124666409551
4cra_113,-1195.0363632809479
4cra_119,-1202.696863209808
4cra_124,-924.546915986505
4cra_126,-1215.4563029852432
4cra_130,-1168.4490009938306
4cra_151,-1129.872819694803
4cra_155,-1227.4361700147651
4cra_175,-1225.2359925292167
4cra_201,-1314.8914664283757
4cra_204,-1470.1770493391336
4cra_214,-1367.3018776157728
4cra_219,-1315.5477304205451
4cra_224,-1479.8451757286014
4cra_230,-1510.6264717525394
4cra_24,-898.6026141141945
4cra_240,-1209.7766174779204
4cra_250,-1308.1679286111748
4cra_258,-1452.7342228408118
4cra_270,-1229.8742027562707
4cra_276,-1305.8757345847132
4cra_281,-1484.3166205522305
4cra_283,-1485.0813715467589
4cra_292,-1355.9010013435563
4cra_296,-1322.9886888737603
4cra_302,-1198.707091772537
4cra_307,-1116.2778608058607
4cra_318,-1235.012585311453
4cra_354,-1345.7521739590989
4cra_358,-1222.4616423189018
4cra_364,-1274.196097633088
4cra_375,-1153.4077848246027
4cra_378,-1164.9460759081626
4cra_383,-1217.4161136648293
4cra_4,-1314.855144594045
4cra_413,-1151.056781174743
4cra_422,-1322.4503743252808
4cra_439,-1228.2244964129857
4cra_441,-1036.3449987965714
4cra_444,-1151.0207333221713
4cra_448,-1247.575362990727
4cra_456,-1149.5078460286186
4cra_470,-1210.5704419023589
4cra_472,-1075.6066361409953
4cra_477,-970.754709265027
4cra_479,-1324.006048158286
4cra_496,-1087.7981712312626
4cra_504,-1094.2554087975175
4cra_523,-786.5507501962828
4cra_525,-915.4320154320744
4cra_533,-828.1365082289304
4cra_538,-1074.5260890668324
4cra_540,-1188.8100146861264
4cra_541,-1181.5444466024726
4cra_547,-1396.4969469580174
4cra_548,-1075.7447103209681
4cra_549,-926.3495931289127
4cra_564,-1017.5595533477043
4cra_566,-1022.3243052234047
4cra_569,-925.0247113310309
4cra_572,-900.2319303011445
4cra_576,-1131.2921130912503
4cra_578,-1170.4561408528803
4cra_579,-1201.9671314757036
4cra_580,-976.3978784840119
4cra_584,-742.2717043156795
4cra_589,-901.8592221298628
4cra_590,-1222.67838985182
4cra_591,-945.016152616859
4cra_595,-858.8298848509124
4cra_596,-1050.1859327417628
4cra_604,-1130.4173782136875
4cra_61,-1102.6952204124634
4cra_610,-1163.8745793149585
4cra_624,-1069.9751521505593
4cra_636,-1308.3887176592323
4cra_644,-1045.5660235498767
4cra_656,-1063.7766993162377
4cra_658,-963.9892072513632
4cra_680,-884.0856396771603
4cra_689,-816.9317584042417
4cra_695,-1009.4553049381419
4cra_716,-1192.216350997126
4cra_719,-1253.8846322697457
4cra_720,-1257.079901132567
4cra_748,-1017.7548569579692
4cra_795,-1087.0310685134034
4cra_81,-1035.8560689467997
4cra_827,-1048.1084302956253
4cra_828,-985.1341293720963
4cra_830,-1164.729195360773
4cra_855,-1217.3235765812071
4cra_861,-1126.8731462532148
4cra_893,-1303.866490506043
4cra_905,-1296.1559734485138
4cra_918,-1204.7917392464958
4cra_941,-1154.8962361534911
4cra_953,-1218.8348170883432
4cra_967,-1075.8904697788596
4cra_972,-1061.3850250451933
