#code,score
5a7b_11,206.86770368890447
5a7b_115,212.43455638806122
5a7b_136,194.36714315917814
5a7b_138,255.52021716218633
5a7b_144,272.75584831080823
5a7b_170,297.82222212159877
5a7b_175,201.80233035013046
5a7b_178,235.9817342471064
5a7b_190,230.43676275409425
5a7b_204,283.7916793485141
5a7b_214,275.26730767262177
5a7b_215,332.5634195168062
5a7b_217,286.5361768488655
5a7b_227,290.5372121515122
5a7b_233,272.81348754830316
5a7b_234,281.71103826198106
5a7b_243,289.93242806294256
5a7b_244,284.7377192732395
5a7b_258,268.71222604479124
5a7b_261,323.30477666609795
5a7b_264,327.6526108086957
5a7b_266,264.45133793366205
5a7b_274,267.4802356086953
5a7b_276,282.04230183261086
5a7b_280,248.956991042069
5a7b_281,376.32136141969124
5a7b_284,291.83094769501605
5a7b_286,281.4244591117091
5a7b_295,254.3316973414655
5a7b_302,246.10478554440297
5a7b_309,227.6498415124934
5a7b_311,238.84939311440533
5a7b_349,224.71845349222357
5a7b_358,283.1550180873141
5a7b_382,268.54967350402785
5a7b_402,216.44648939429717
5a7b_409,125.00917983829187
5a7b_424,68.40768351554472
5a7b_426,152.87479579276558
5a7b_429,187.44457078709516
5a7b_440,216.40746901275267
5a7b_447,106.44744533281086
5a7b_451,273.62830259331423
5a7b_461,166.3044497056812
5a7b_485,233.13644153367542
5a7b_488,63.15979022111891
5a7b_511,279.82810401694445
5a7b_514,226.31029434370276
5a7b_518,242.7889830974485
5a7b_523,230.66909992745317
5a7b_531,154.18649023026953
5a7b_539,177.04003950438872
5a7b_542,160.19981985941635
5a7b_546,203.9459523034238
5a7b_550,118.94365846963352
5a7b_553,232.77477074086303
5a7b_566,287.37056233159
5a7b_569,146.650947726871
5a7b_588,259.7809264447064
5a7b_591,250.62984329741252
5a7b_595,222.50912735015535
5a7b_597,105.03921940355384
5a7b_601,240.82634632600409
5a7b_613,229.39970521291457
5a7b_623,258.1637978926141
5a7b_628,171.85435609200022
5a7b_632,235.2902342117122
5a7b_633,133.15932326981826
5a7b_636,205.37632560879229
5a7b_651,185.24370954047762
5a7b_652,237.6787405649343
5a7b_655,143.72640619852498
5a7b_657,193.03424842436422
5a7b_660,224.95766735631238
5a7b_672,176.1607674165762
5a7b_675,123.59516661927667
5a7b_690,185.10266569440356
5a7b_691,237.00416872534996
5a7b_694,190.67569019755751
5a7b_696,220.93331160761534
5a7b_697,137.98283570353217
5a7b_698,214.7701655585844
5a7b_700,214.23875403202564
5a7b_726,302.8744532904774
5a7b_738,279.93234554667373
5a7b_742,275.52547781466455
5a7b_780,159.46719181650988
5a7b_817,231.31711891928379
5a7b_842,195.75148671008392
5a7b_843,242.44283918718637
5a7b_850,325.8967711947924
5a7b_874,223.4466280482956
5a7b_878,238.17216867196362
5a7b_980,219.37096716642017
