#code,score
2ymd_229,-2596109.6784876166
2ymd_3,-2533387.4704378047
2ymd_403,-1948120.7017778514
2ymd_405,-2258081.561882447
2ymd_410,-2251539.138063983
2ymd_416,-1538528.7983848392
2ymd_426,-1995403.5449749555
2ymd_427,-2050296.6889957408
2ymd_433,-2245203.700112976
2ymd_434,-1810479.443014901
2ymd_435,3596099.450205726
2ymd_436,-2017220.4659617192
2ymd_439,-1984316.9586370068
2ymd_456,-1687196.909875837
2ymd_458,-1743295.3971334724
2ymd_484,-160351.0767288203
2ymd_486,-1176958.0273428487
2ymd_489,-49960.36751471242
2ymd_492,-1721894.1989235983
2ymd_496,-1046089.2522219255
2ymd_497,-1831177.6376600128
2ymd_510,-1224224.6843574042
2ymd_521,-1715680.1919272246
2ymd_533,-1440570.4769521868
2ymd_539,-76449.3362085484
2ymd_547,-1285876.0491109435
2ymd_555,-1369131.793128441
2ymd_557,-1560176.233417476
2ymd_561,-1848269.4692418461
2ymd_567,-23069.583191052727
2ymd_585,38708.31695504536
2ymd_587,-1481735.2429862139
2ymd_588,-1111853.1515559626
2ymd_591,1224739.503461685
2ymd_593,-136793.90520948204
2ymd_618,-1412540.2904229078
2ymd_623,-1072633.5569211054
2ymd_626,-788437.34225388
2ymd_651,-615310.7890231974
2ymd_665,-1371619.947237199
2ymd_670,-1054996.3749774734
2ymd_672,-1807465.9051126128
2ymd_674,-808866.3917900297
2ymd_680,-1705502.0069379993
2ymd_681,1342968.61641622
2ymd_687,-966547.657383482
2ymd_688,1003472.6172874554
2ymd_694,1148211.819272
2ymd_695,-1128691.4017971635
2ymd_773,-1758271.157705191
2ymd_889,-2497792.6671854905
2ymd_89,-2431617.4408673677
