#code,score
2wer_112,-387.26544312811916
2wer_123,-324.6387330983007
2wer_170,-370.3922385103406
2wer_177,-380.7475035021147
2wer_337,-369.43392525659857
2wer_345,-407.9937493879634
2wer_390,-415.2316241537672
2wer_403,216.83740043190528
2wer_404,37.19912028993413
2wer_414,359.9744310172044
2wer_419,491.9076798844073
2wer_422,-81.11672139573952
2wer_424,-169.6805556213223
2wer_426,190.82800646059204
2wer_437,437.01094383998196
2wer_439,420.3982281990242
2wer_441,839.3872658507548
2wer_442,-185.09882177895338
2wer_445,1468.7062573805813
2wer_447,73.31994178396434
2wer_459,625.2730468106313
2wer_460,1051.9172970432928
2wer_463,-75.56388193595636
2wer_473,867.3106891515306
2wer_478,450.6152127229403
2wer_479,972.0553155218778
2wer_485,-49.95325001035178
2wer_486,478.46138541520736
2wer_489,195.4792901139383
2wer_557,-143.46125868959788
2wer_57,-343.5909042916517
2wer_570,-76.2511183341314
2wer_580,-64.90674074953726
2wer_581,-5.953549569516797
2wer_589,-185.39007825078465
2wer_596,-144.98012494586658
2wer_646,-75.29814908716259
2wer_658,-102.1840564402627
2wer_663,-144.24431339669067
2wer_669,-122.50935063211212
2wer_676,18.693360971234302
2wer_678,14.406031643421048
2wer_688,197.50081865020906
2wer_697,-152.77391732105946
2wer_719,-236.59911082793684
2wer_728,-223.51693109846056
2wer_73,-413.816549805686
2wer_737,-248.95427918507045
2wer_739,-242.11317385168408
2wer_740,-218.12050568240358
2wer_743,-260.4110422373639
2wer_745,-222.5366018144324
2wer_751,-255.5850810842775
2wer_752,-187.19057522647756
2wer_759,-173.62133450393455
2wer_763,-247.85322453708565
2wer_764,-216.24956820533217
2wer_765,-215.45132423786896
2wer_767,-194.56423876656714
2wer_768,-232.16271787838272
2wer_769,-178.46281266479352
2wer_773,-104.2066708199377
2wer_774,-145.55172908722108
2wer_775,-177.88636752479357
2wer_777,-119.18771846551056
2wer_779,-412.29250652968346
2wer_790,-347.53243516458593
2wer_792,-331.9809727255623
2wer_810,-249.13746767108475
2wer_812,-241.7814106338883
2wer_838,-247.93748621297283
2wer_853,-239.06277219684267
2wer_858,-220.41499437011146
2wer_866,-237.1154052960624
2wer_88,-394.9995330803695
2wer_888,-397.69437033136273
2wer_899,-303.7833849193377
2wer_920,-236.8650871138292
2wer_934,-298.32561184319667
2wer_935,-171.68266448450194
2wer_941,-286.94889229602353
2wer_944,-246.81609379685926
2wer_952,-287.8813387347793
2wer_957,-259.258176449373
