#code,score
5c28_113,-229.30552252782581
5c28_133,-215.61630778843877
5c28_146,-234.46818735477493
5c28_2,-271.4601414507598
5c28_3,-277.621351062604
5c28_30,-258.8700893147772
5c28_324,-232.8710948258302
5c28_345,-248.43109304250078
5c28_35,-244.10098436072758
5c28_382,-280.8368622192318
5c28_4,-268.56101976935815
5c28_424,-229.75373089830805
5c28_451,-190.6605359306977
5c28_456,-180.99625094954803
5c28_460,-241.9438072726557
5c28_469,-43.96420624999959
5c28_47,-245.52558699141713
5c28_503,-133.00910761807455
5c28_508,-241.6751227667122
5c28_516,-231.34861441213954
5c28_525,-155.43900697260395
5c28_528,-205.34383068341955
5c28_531,72.6970421046381
5c28_542,-201.52652043612977
5c28_543,-201.05894585344225
5c28_549,-180.88537405773687
5c28_550,-206.6890913242034
5c28_563,-203.49536172352924
5c28_569,-90.92164236153005
5c28_572,-106.15980654237654
5c28_588,-110.28370043014449
5c28_589,-212.30365053148466
5c28_593,-96.290894887831
5c28_600,-154.24883465656686
5c28_604,-151.8563759632469
5c28_614,-153.10649298719107
5c28_624,-202.8984826271523
5c28_627,-254.17192745581343
5c28_643,-148.51678320140488
5c28_664,-226.88400833713868
5c28_675,-195.24488265333116
5c28_681,-72.67320194542191
5c28_693,-227.01836420338077
5c28_702,-227.96693347043626
5c28_706,-208.07873140191145
5c28_709,-215.4832241996187
5c28_71,-272.2480437712257
5c28_715,-197.66461608683548
5c28_723,-141.79554359736306
5c28_725,-145.41361791442228
5c28_727,-210.36925524981777
5c28_729,-213.77785220213255
5c28_735,-196.53469870020572
5c28_741,-209.82078452224877
5c28_743,-176.61098963847638
5c28_746,-184.22582409854576
5c28_747,-240.06383913686153
5c28_755,-174.79831802786973
5c28_758,-152.77490401305442
5c28_761,-186.0325149283939
5c28_762,-114.41351275399433
5c28_766,-167.17842254002414
5c28_767,-170.24725896386045
5c28_770,-160.440230236333
5c28_771,-168.265511292109
5c28_772,-113.95482781368041
5c28_773,-111.65870735946892
5c28_775,-155.6141671557229
5c28_781,-155.60809787468452
5c28_782,-119.74297227493832
5c28_783,-135.76172490022086
5c28_784,-125.99828107931381
5c28_785,-124.72313558103282
5c28_787,-108.86541267641921
5c28_788,-152.8311405470759
5c28_789,-133.2402831976201
5c28_790,-126.41210431662348
5c28_791,-105.29915777618491
5c28_792,-109.91981243507045
5c28_794,-113.72414627286669
5c28_807,-184.13286495655723
5c28_829,-193.0150065220351
5c28_845,-220.45633704925447
5c28_850,-219.9404914757727
5c28_858,-145.14752154807732
5c28_866,-142.40953138672012
5c28_876,-172.95840499714453
5c28_877,-106.75317430985578
5c28_879,-215.0186719784989
5c28_881,-198.6338715894376
5c28_882,-226.3466068047918
5c28_883,-152.0463305222471
5c28_885,-150.93388090569817
5c28_928,-196.3931671932268
5c28_934,-192.11630219370753
5c28_97,-255.90083390345094
