#code,score
3uri_1000,186.83233202280044
3uri_1001,183.80056007609699
3uri_1002,187.22385302148302
3uri_1003,184.63887951454663
3uri_177,120.98393441747903
3uri_183,173.99166406154973
3uri_186,105.58493203335377
3uri_197,140.5113659598374
3uri_203,153.4759661051408
3uri_204,138.87699916680683
3uri_209,148.7108468443269
3uri_210,180.6332978679847
3uri_211,124.50623134580758
3uri_213,158.44612309108632
3uri_221,165.42306766897974
3uri_223,102.8689044811713
3uri_228,106.25194430620607
3uri_23,122.4718800005497
3uri_230,159.62037644827677
3uri_232,159.64835983240854
3uri_240,139.8498204440622
3uri_245,173.43964478753955
3uri_246,153.15719605706656
3uri_247,146.95034975537104
3uri_248,150.167697727409
3uri_253,171.97729070707385
3uri_254,172.6487139193638
3uri_255,154.54884916390776
3uri_256,173.2225330020902
3uri_258,145.28699023847696
3uri_265,138.11464312884172
3uri_267,164.4100851595476
3uri_268,141.24811269168907
3uri_270,134.13152462432228
3uri_271,160.81067915469757
3uri_275,140.40954130276526
3uri_285,156.82144937669187
3uri_289,154.20870040376641
3uri_292,151.4904442679088
3uri_294,161.2350152888594
3uri_296,148.82576542918216
3uri_319,144.175317010173
3uri_353,128.10600630514847
3uri_365,113.79509981753631
3uri_367,149.45999586338831
3uri_371,166.31649082655707
3uri_372,159.6394212922194
3uri_376,102.23959439015425
3uri_385,154.76949830717786
3uri_394,103.43573622604096
3uri_417,-609.3120145831283
3uri_439,-798.4745855799233
3uri_442,-1287.9765094838308
3uri_448,-589.0137545910453
3uri_46,107.9197100115296
3uri_476,-276.33198890126295
3uri_487,-1328.138128427563
3uri_528,-41.78599927565415
3uri_574,-432.16278117736476
3uri_597,-118.78741919506416
3uri_633,-1757.5902725596188
3uri_657,-198.56260876386693
3uri_668,-350.0991729114636
3uri_683,-228.21090181320375
3uri_701,169.9098585497988
3uri_722,149.56871118172472
3uri_725,152.09287496807428
3uri_797,148.3606984862026
3uri_806,157.5398474155484
3uri_833,164.56892661511435
3uri_847,175.30117997073447
3uri_859,159.34081666704128
3uri_866,155.41279810203548
3uri_880,152.09287496807428
3uri_882,161.99944086260382
3uri_90,127.71858833031389
3uri_999,183.37609123209754
