#code,score
3jya_125,-26422.771334179208
3jya_179,-25840.762999165112
3jya_20,-29247.903596307435
3jya_238,-29039.872003304186
3jya_285,-27226.432152220557
3jya_315,-28511.408023950928
3jya_324,-28692.780544948597
3jya_402,-18394.778742924493
3jya_403,-17801.382831297113
3jya_405,-24149.427494970172
3jya_408,-25531.17155713655
3jya_413,-28588.850813488203
3jya_418,-22146.21004055906
3jya_420,-30757.409961208123
3jya_425,-24472.447389712343
3jya_428,-29439.745897771754
3jya_435,-29460.248350080925
3jya_440,-26678.457513405992
3jya_449,-28060.455431994906
3jya_455,-24201.494216407937
3jya_457,-24229.107009560023
3jya_459,-29931.64522178313
3jya_469,-21396.228387684947
3jya_470,-29350.96953251275
3jya_471,-22640.901266990797
3jya_472,-26628.54055747418
3jya_475,-12550.690268940081
3jya_481,-27414.05117577938
3jya_490,-27951.322189451137
3jya_494,-22064.61705127856
3jya_506,-26490.32614394371
3jya_508,-21793.982733681678
3jya_518,-28327.434744526796
3jya_531,-26834.31689051893
3jya_538,-24033.733391483744
3jya_544,-29328.79555209658
3jya_553,-29551.282719401104
3jya_570,-26395.63802664254
3jya_572,-23895.84237833109
3jya_584,-22410.93349880205
3jya_594,-7755.188668840796
3jya_647,-12770.259577810411
3jya_649,-18299.106863880428
3jya_690,-24196.256908842493
3jya_700,-21264.77577701763
3jya_712,-15758.055738032439
3jya_730,-15857.808954616692
3jya_734,-15762.51207766842
3jya_735,-16139.455370710322
3jya_736,-19908.96518979041
3jya_741,-13923.800747937714
3jya_742,-20403.959701223503
3jya_744,-17633.615192164263
3jya_748,-19304.781769045323
3jya_750,-16964.928909213253
3jya_752,-16182.039914746161
3jya_755,-16924.346884453706
3jya_756,-10943.246508984306
3jya_758,-15107.177921479268
3jya_761,-15621.73931118373
3jya_764,-13975.711431806278
3jya_765,-14628.287908558394
3jya_766,-14905.442541156564
3jya_767,-14215.992665977625
3jya_771,-14404.08818561136
3jya_772,-13142.704646377684
3jya_774,-13109.158707493047
3jya_775,-7907.4901973875785
3jya_776,-14359.315925181578
3jya_780,3146.4944922953173
3jya_782,124190.40618578358
3jya_783,31876.47443964583
3jya_786,559893.1489004396
3jya_787,124775.29661222296
3jya_788,247887.03229338373
3jya_791,318721.0311351225
3jya_793,625150.1581811307
3jya_795,265405.67742202716
3jya_796,155393.42854949448
3jya_797,190366.45457894178
3jya_798,454991.01275567675
3jya_799,238800.6968905921
3jya_865,-29272.05732214379
3jya_890,-14899.41783761797
3jya_898,-17453.695575639384
