#code,score
4f2w_101,-30400.079500646516
4f2w_105,-44865.10203560384
4f2w_121,-28803.05593345322
4f2w_122,-25474.42788208028
4f2w_124,-29398.03247344863
4f2w_136,-24562.09821294387
4f2w_142,-45089.30689347818
4f2w_144,-29750.443504737937
4f2w_147,-28852.09028685105
4f2w_151,-28001.766866488015
4f2w_154,-23679.75564991332
4f2w_155,-29391.697952427665
4f2w_163,-24728.082906706553
4f2w_187,-29043.69216910825
4f2w_198,-24113.21502007536
4f2w_264,-43510.12982996713
4f2w_360,-41231.923744162996
4f2w_407,112729.36008543908
4f2w_420,6303.3524756133365
4f2w_428,61581.903587248366
4f2w_431,399.37696879841394
4f2w_435,27620.752647796715
4f2w_436,240202.9791990166
4f2w_437,-3589.06562612945
4f2w_439,-24764.354728331087
4f2w_442,-21588.46469440634
4f2w_45,-26073.832775199575
4f2w_454,-26250.976529592717
4f2w_465,-5231.041698223048
4f2w_467,5645.908985895437
4f2w_468,-7246.082962565231
4f2w_473,14114.182315570666
4f2w_474,15417.993699655655
4f2w_476,2017.1553605223344
4f2w_480,27738.602485256084
4f2w_482,23158.04633036219
4f2w_484,-6223.471859258201
4f2w_486,3374.5300588209147
4f2w_519,-18580.291467152103
4f2w_521,-23161.667246772933
4f2w_523,-28213.355726505008
4f2w_542,-6936.806262115032
4f2w_543,-9445.290463299303
4f2w_552,-20526.708112030774
4f2w_559,15056.056043736637
4f2w_562,-5062.850606960702
4f2w_567,-2380.5969713161057
4f2w_571,-1612.9939937314186
4f2w_581,4359.979777950113
4f2w_582,-11505.414075632561
4f2w_585,-15682.021408711858
4f2w_586,-9965.744839555166
4f2w_589,-6552.012400038682
4f2w_597,-12442.633296184436
4f2w_608,-781.253558286968
4f2w_620,-12907.924754225993
4f2w_631,37588.92725393755
4f2w_638,-1985.8969091892711
4f2w_657,-18018.89399213319
4f2w_658,-4979.486750448396
4f2w_66,-24374.889406487775
4f2w_664,-20622.82665497582
4f2w_665,-3585.9965278813534
4f2w_671,-8994.402107375015
4f2w_687,-25037.67121583667
4f2w_725,-45127.22564132709
4f2w_749,-40035.91642896615
4f2w_770,-38968.74968482562
4f2w_796,-42824.01811943021
4f2w_825,-45618.02102202641
4f2w_901,-44212.70527833155
4f2w_907,-45186.55296411758
4f2w_917,-45757.60785418075
4f2w_922,-44347.71089404199
4f2w_979,-43387.30085723198
