#code,score
4dli_136,-20.337119866443004
4dli_154,-20.337119866443004
4dli_409,-20.337119881002565
4dli_414,-20.33711986647024
4dli_42,-20.337119866443004
4dli_422,-20.33285136804217
4dli_426,-20.337119866577968
4dli_431,-20.33754743353994
4dli_447,-20.421985564825736
4dli_455,-20.13828276056998
4dli_465,-20.911348849710816
4dli_481,-20.336697550613778
4dli_486,-20.546558672357826
4dli_489,-20.44856134915423
4dli_498,-21.337231409480797
4dli_501,-20.337119866443008
4dli_502,-20.337119866454625
4dli_504,-20.337119866704644
4dli_505,-20.337120510157934
4dli_521,-20.337119878759218
4dli_524,-20.337119866444134
4dli_530,-20.337119877288238
4dli_546,-20.33823487461681
4dli_547,-20.337121165294327
4dli_550,-20.337193402898315
4dli_567,-20.337175517654448
4dli_57,-20.337119866443008
4dli_571,-20.337205772744547
4dli_573,-20.337259418135677
4dli_575,-20.338422163437148
4dli_580,-20.33712009807277
4dli_587,-20.34206067452896
4dli_591,-20.337359648247226
4dli_594,-20.337198730339683
4dli_595,-20.63008223262146
4dli_637,-20.337136099522418
4dli_641,-20.38427862784262
4dli_659,-20.613571432691483
4dli_660,-20.196537741612456
4dli_664,-20.33712768715055
4dli_666,-20.338998209831573
4dli_679,-20.337122425424724
4dli_684,-20.41803904542706
4dli_693,-20.002626256741905
4dli_710,-20.337119866443157
4dli_734,-20.337119866455566
4dli_738,-20.33711986646876
4dli_750,-20.337119866443004
4dli_756,-20.337138528424415
4dli_759,-20.337119869971037
4dli_769,-20.33711986644312
4dli_770,-20.337120970462617
4dli_772,-20.337178168545783
4dli_776,-20.3371199095479
4dli_777,-20.337120419041756
4dli_778,-20.337177783797692
4dli_781,-20.33741915157571
4dli_783,-20.337119896836988
4dli_784,-20.33711986644303
4dli_786,-20.337132082415557
4dli_787,-20.337120504835593
4dli_788,-20.337247376346664
4dli_789,-20.337119951887658
4dli_792,-20.343508040675577
4dli_793,-20.337120574280707
4dli_868,-20.337119867096934
4dli_895,-20.337119867689314
4dli_948,-20.337119866443473
4dli_96,-20.337119866443004
