#code,score
2vw5_115,652287.44
2vw5_154,365353.16
2vw5_160,647361.44
2vw5_22,654843.2
2vw5_227,654381.8
2vw5_249,643206.56
2vw5_381,640148.8
2vw5_403,314080.8
2vw5_407,348577.5
2vw5_408,381703.84
2vw5_410,657399.3
2vw5_411,362054.62
2vw5_415,670756.4
2vw5_418,654422.06
2vw5_420,351106.4
2vw5_425,659449.7
2vw5_434,628909.06
2vw5_441,674924.3
2vw5_442,380121.94
2vw5_443,625061.44
2vw5_467,662216.56
2vw5_471,436885.28
2vw5_475,369138.97
2vw5_477,646780.94
2vw5_488,641209.3
2vw5_493,654517.8
2vw5_516,658615.4
2vw5_519,379377.56
2vw5_536,441340.22
2vw5_537,664354.2
2vw5_541,647836.06
2vw5_546,637472.94
2vw5_552,381849.1
2vw5_557,375542.2
2vw5_576,352617.3
2vw5_585,652184.94
2vw5_618,360133.12
2vw5_642,659791.56
2vw5_645,376822.16
2vw5_652,374095.06
2vw5_659,645126.3
2vw5_661,735558.7
2vw5_665,656223.7
2vw5_667,643503.06
2vw5_670,451712.34
2vw5_678,381267.8
2vw5_687,630953.0
2vw5_688,707285.7
2vw5_692,634008.06
2vw5_693,659081.06
2vw5_695,378511.25
2vw5_696,661198.7
2vw5_698,650355.8
2vw5_736,666137.94
2vw5_740,669361.8
2vw5_751,649612.56
2vw5_762,371044.78
2vw5_789,666289.75
2vw5_791,593088.06
2vw5_900,659919.06
