#code,score
2wbg_111,-38.55109
2wbg_117,-39.618107
2wbg_123,-33.481316
2wbg_15,-35.58727
2wbg_153,-34.9862
2wbg_164,-38.509953
2wbg_270,-33.519764
2wbg_309,-37.641598
2wbg_322,-34.216793
2wbg_331,-33.401897
2wbg_336,-37.917595
2wbg_345,-29.300463
2wbg_365,-38.026047
2wbg_367,-21.477943
2wbg_379,-31.024668
2wbg_389,-37.515293
2wbg_4,-31.997334
2wbg_421,-41.552658
2wbg_439,-31.212883
2wbg_467,-39.078026
2wbg_470,-38.506073
2wbg_473,-38.188187
2wbg_492,-38.75115
2wbg_511,-34.853706
2wbg_514,-33.095337
2wbg_521,-38.955116
2wbg_525,-36.05133
2wbg_527,-31.869955
2wbg_533,-38.035885
2wbg_543,-36.528873
2wbg_554,-36.093426
2wbg_559,-25.46722
2wbg_565,-37.391094
2wbg_566,-32.468163
2wbg_588,-31.336859
2wbg_593,-37.273872
2wbg_598,-23.480072
2wbg_625,-33.89352
2wbg_637,-41.484673
2wbg_649,-33.465744
2wbg_650,-31.954828
2wbg_667,-33.091316
2wbg_668,-34.087772
2wbg_688,-37.621643
2wbg_715,-31.523611
2wbg_719,-31.375559
2wbg_721,-34.75114
2wbg_730,-30.956076
2wbg_731,-33.24426
2wbg_734,-36.62562
2wbg_737,-31.071049
2wbg_742,-32.294846
2wbg_747,-33.50851
2wbg_75,-36.276455
2wbg_750,-29.313498
2wbg_754,-33.87453
2wbg_755,-29.802265
2wbg_763,-37.19793
2wbg_767,-34.9417
2wbg_775,-35.817207
2wbg_779,-32.05461
2wbg_781,-36.20889
2wbg_783,-31.076685
2wbg_784,-32.773537
2wbg_786,-26.050549
2wbg_788,-34.413113
2wbg_791,-21.909256
2wbg_792,-32.479385
2wbg_795,-34.674248
2wbg_797,-19.745203
2wbg_880,-34.245018
2wbg_886,-31.534943
2wbg_889,-30.91005
2wbg_897,-30.037603
2wbg_944,-30.252764
2wbg_976,-31.525232
