#code,score
4jia_11,-22.743753
4jia_111,-8.118937
4jia_162,-8.695943
4jia_202,-14.434963
4jia_205,-22.478897
4jia_210,-19.444885
4jia_214,-15.258325
4jia_223,-8.566371
4jia_227,-11.206256
4jia_230,-11.7252655
4jia_232,-12.757347
4jia_249,-18.007877
4jia_257,-17.257002
4jia_261,-16.612143
4jia_275,-18.992985
4jia_282,-13.3642235
4jia_285,-11.910517
4jia_287,-18.86385
4jia_291,-12.419692
4jia_293,-10.355209
4jia_295,-15.447021
4jia_316,-14.205897
4jia_335,-18.00371
4jia_337,-11.913391
4jia_362,-20.885155
4jia_415,-9.838906
4jia_418,-11.398823
4jia_419,-15.450812
4jia_427,-13.7585745
4jia_439,-32.24013
4jia_443,-11.230725
4jia_460,-19.558594
4jia_479,-17.587502
4jia_485,-15.2652025
4jia_532,-14.223329
4jia_539,-15.717402
4jia_551,-17.757868
4jia_552,-7.2694745
4jia_555,-15.09843
4jia_569,-14.756292
4jia_587,-11.06789
4jia_60,-17.096172
4jia_609,-10.722186
4jia_61,-19.442608
4jia_66,-17.914577
4jia_661,-13.026722
4jia_665,-13.873381
4jia_679,-16.985567
4jia_707,-16.854301
4jia_710,-13.059159
4jia_711,-19.16273
4jia_712,-20.143236
4jia_719,-13.434548
4jia_723,-17.524786
4jia_724,-14.323498
4jia_725,-21.86767
4jia_727,-14.417279
4jia_729,-18.384565
4jia_733,-17.404182
4jia_734,-19.934107
4jia_737,-16.779781
4jia_740,-18.31159
4jia_743,-22.465996
4jia_747,-17.573248
4jia_749,-27.45363
4jia_752,-26.305805
4jia_754,-18.51933
4jia_758,-17.997297
4jia_763,-20.106112
4jia_765,-27.761652
4jia_766,-14.882988
4jia_767,-18.029686
4jia_769,-16.351524
4jia_770,-16.70577
4jia_773,-16.022858
4jia_774,-12.053176
4jia_777,-26.400393
4jia_783,-18.600258
4jia_789,-22.460304
4jia_793,-21.186377
4jia_796,-19.984083
4jia_807,-15.18123
4jia_812,-17.966827
4jia_844,-18.74929
4jia_85,-17.143536
4jia_851,-15.3525095
4jia_868,-15.0489
4jia_876,-14.63144
4jia_88,-18.587082
4jia_885,-16.188585
4jia_889,-15.432521
4jia_891,-14.439838
4jia_907,-21.432932
4jia_91,-17.564938
4jia_917,-21.264019
4jia_923,-17.027061
4jia_957,-19.04919
4jia_959,-11.50581
4jia_984,-19.05606
4jia_994,-16.175503
