#code,score
3pxf_100,8.782522
3pxf_117,7.6963353
3pxf_13,7.6430264
3pxf_136,8.158659
3pxf_152,7.432095
3pxf_184,8.146867
3pxf_2,8.366675
3pxf_22,8.382592
3pxf_263,7.861506
3pxf_305,7.538844
3pxf_314,8.32569
3pxf_321,8.608998
3pxf_323,8.307326
3pxf_332,9.24763
3pxf_339,9.120359
3pxf_368,7.857529
3pxf_373,7.824902
3pxf_406,6.971011
3pxf_423,7.429508
3pxf_434,6.462513
3pxf_438,7.552182
3pxf_443,6.750702
3pxf_452,6.3725133
3pxf_456,6.796381
3pxf_463,6.359554
3pxf_473,6.562107
3pxf_478,6.354654
3pxf_48,8.026647
3pxf_480,6.674178
3pxf_482,8.066444
3pxf_510,7.309203
3pxf_513,7.422896
3pxf_537,7.7891035
3pxf_539,7.2361307
3pxf_542,8.656372
3pxf_558,7.5708055
3pxf_560,7.433579
3pxf_569,7.907734
3pxf_571,6.7573876
3pxf_576,6.486102
3pxf_582,8.265787
3pxf_608,6.851393
3pxf_612,6.5790367
3pxf_621,7.4618297
3pxf_628,7.8842173
3pxf_631,7.19389
3pxf_647,7.855467
3pxf_648,6.555258
3pxf_655,6.4232078
3pxf_658,8.389976
3pxf_659,7.4984975
3pxf_661,6.433648
3pxf_663,6.741637
3pxf_680,8.479161
3pxf_685,9.214475
3pxf_686,6.8952703
3pxf_689,6.6518593
3pxf_694,7.9555635
3pxf_7,8.592751
3pxf_724,6.7007275
3pxf_736,8.344909
3pxf_74,7.8215275
3pxf_743,7.259626
3pxf_761,7.9541597
3pxf_766,7.641776
3pxf_767,7.369556
3pxf_768,9.70753
3pxf_774,6.830509
3pxf_775,8.200737
3pxf_776,7.9581404
3pxf_779,8.116965
3pxf_78,7.2197704
3pxf_780,7.1093497
3pxf_781,7.1632986
3pxf_782,7.168045
3pxf_783,8.936845
3pxf_788,7.962989
3pxf_794,6.911592
3pxf_795,7.314394
3pxf_796,6.57659
3pxf_798,8.538485
3pxf_810,6.540039
3pxf_817,7.7359333
3pxf_842,7.249513
3pxf_848,6.503282
3pxf_922,8.4525
3pxf_948,7.3943996
3pxf_951,6.589318
3pxf_972,7.114128
3pxf_973,6.433648
