#code,score
4j3l_115,-8138346.143185
4j3l_140,-8589130.192722503
4j3l_202,-9014630.489907423
4j3l_286,-8756489.869105326
4j3l_348,-8170096.398191525
4j3l_352,-8179031.252437588
4j3l_404,-10619347.281169059
4j3l_413,-11000602.633378582
4j3l_422,-10729910.705162838
4j3l_433,-10974835.849347506
4j3l_435,-9971054.344778571
4j3l_440,-11573423.99175862
4j3l_446,-13637860.714718172
4j3l_449,-10460991.699763436
4j3l_455,-12056443.665477669
4j3l_468,-10818973.971847529
4j3l_473,-13884448.894611044
4j3l_475,-13027922.995097112
4j3l_479,-12437371.815515058
4j3l_485,-13260521.66437288
4j3l_489,-8999278.667624634
4j3l_490,-10688976.269377153
4j3l_523,-11276603.277150689
4j3l_536,-10109243.773731017
4j3l_547,-10617560.386336928
4j3l_561,-8838827.964397069
4j3l_574,-7251891.71489335
4j3l_585,-12503596.537994415
4j3l_597,-8037657.001470086
4j3l_620,-10786100.918803345
4j3l_632,-10993216.736570714
4j3l_635,-10549993.217701891
4j3l_636,-10828819.8593378
4j3l_647,-10275375.120386524
4j3l_650,-10501025.88511631
4j3l_656,-10017198.288821872
4j3l_662,-12002203.238309868
4j3l_673,-12952667.046950862
4j3l_677,-11463502.276888058
4j3l_684,-7566717.06684063
4j3l_696,-6540855.667466791
4j3l_699,-12066990.708443142
4j3l_700,-11682410.528858038
4j3l_732,-8455765.95318572
4j3l_733,-8442147.10061351
4j3l_739,-8354872.65359883
4j3l_746,-8072073.506787216
4j3l_749,-8102197.109586894
4j3l_755,-8450212.480648844
4j3l_761,-8635842.568454178
4j3l_774,-8144579.383425534
4j3l_775,-7971014.543170564
4j3l_776,-8034570.020446584
4j3l_777,-8313278.8962105
4j3l_782,-8239941.79830791
4j3l_784,-8411822.92214941
4j3l_786,-8275110.331893516
4j3l_793,-7417842.88890323
4j3l_858,-8755665.520039883
4j3l_871,-8497668.99690878
4j3l_888,-8398036.865542542
4j3l_991,-8901079.529741809
