#code,score
4owm_109,-2425450.6012727367
4owm_114,-2172408.7888519093
4owm_135,-2341798.946370608
4owm_148,-2194011.002385145
4owm_16,-2210491.956061043
4owm_163,-2490507.026516702
4owm_215,-2116784.2601001738
4owm_216,-2391156.062190485
4owm_223,-2398571.3530678004
4owm_228,-2206941.448908288
4owm_230,-2564170.035639763
4owm_232,-2488221.2420705715
4owm_243,-1807727.1945808537
4owm_260,-2080293.9455039927
4owm_270,-2002229.6128989356
4owm_272,-2117809.0200144406
4owm_278,-2235609.640926605
4owm_280,-2015243.4531451797
4owm_287,-2189763.3635137444
4owm_293,-1897599.8069698613
4owm_299,-1954988.8969469569
4owm_305,-2303017.15167383
4owm_329,-1653186.0777033884
4owm_346,-1531338.1739729536
4owm_362,-1880118.6590553285
4owm_366,-2293513.3406550046
4owm_378,-1878589.4116958398
4owm_389,-2081355.5008627332
4owm_392,-1534996.247884281
4owm_397,-1718980.522640368
4owm_407,-2864708.4715819797
4owm_427,-1876612.4913385736
4owm_430,-2058324.769145361
4owm_437,-3092442.3035723725
4owm_440,-2538509.5887500467
4owm_455,-2408722.1583108865
4owm_461,-2226336.8905264866
4owm_463,-1832573.8315781767
4owm_465,-860938.752200271
4owm_475,-692865.1043198948
4owm_482,-621563.3382788075
4owm_484,-992270.3942817722
4owm_493,-2863526.064352275
4owm_501,-1930370.719072264
4owm_506,-1524475.24246361
4owm_509,-875606.4249905032
4owm_517,-54210.52071397906
4owm_534,-2142737.6228150344
4owm_542,-1279786.4656725002
4owm_554,-2010465.7554789092
4owm_556,-1839793.2997243477
4owm_561,-2904771.862709079
4owm_571,-1734374.9677092328
4owm_572,-844072.4648550435
4owm_574,-1176878.6192169671
4owm_575,-553355.1008794666
4owm_576,-631059.5000514165
4owm_579,-369809.08175475255
4owm_582,-1118536.688571508
4owm_583,-1761775.8500311563
4owm_584,-1380937.8660942535
4owm_595,-2735474.6185680805
4owm_619,-2258980.2044066414
4owm_626,-1875728.7343454403
4owm_629,-2632030.851627304
4owm_637,-2298363.736122382
4owm_639,-1539779.7040622272
4owm_648,-1647656.83683949
4owm_661,-1216107.2474573557
4owm_663,-2596504.6201644577
4owm_670,-1358527.9713610036
4owm_671,-3295498.7555556865
4owm_674,-921573.6260034812
4owm_689,-1860229.0405296728
4owm_695,-1463631.533204779
4owm_742,115400.10613276946
4owm_760,-972333.3518222232
4owm_768,-341866.21939502074
4owm_774,151888.01797571697
4owm_779,-1076302.624670477
4owm_780,-588959.9409101451
4owm_849,-2873492.719770503
4owm_851,-835173.5352626129
4owm_860,-739849.0683186861
4owm_872,-1064891.2419065505
4owm_874,-950790.8112240861
