#code,score
4u4s_120,-5483277.442372322
4u4s_122,-4670599.074958382
4u4s_127,-4488521.145028941
4u4s_128,-4103534.5952138053
4u4s_138,-4657324.583980888
4u4s_14,-4267134.188850824
4u4s_143,-5301855.047840895
4u4s_152,-4944356.099933277
4u4s_153,-4742141.040454718
4u4s_173,-4066871.474668432
4u4s_230,-4595001.984204761
4u4s_232,-5060775.264617922
4u4s_251,-4949353.181495484
4u4s_26,-4065766.6306559555
4u4s_261,-4837161.352900472
4u4s_271,-4620729.897861199
4u4s_272,-5026216.860658911
4u4s_293,-4462554.808283547
4u4s_36,-4332276.212087645
4u4s_412,-3940473.4963240204
4u4s_427,-4156772.744050406
4u4s_428,-3876944.2974030087
4u4s_429,-4846715.170813952
4u4s_430,-4573918.794653326
4u4s_435,-4373674.515916526
4u4s_440,-4854480.000756836
4u4s_449,-4251385.906951826
4u4s_456,-5550491.177685042
4u4s_460,-5595405.675835071
4u4s_462,-4894467.087944027
4u4s_464,-5087555.466825885
4u4s_468,-4241695.490170094
4u4s_484,-4866459.966698429
4u4s_485,-4736859.9651865885
4u4s_490,-5454406.660331234
4u4s_492,-5539587.73427077
4u4s_497,-4479443.407457186
4u4s_500,-5004265.635291778
4u4s_509,-4364565.495452259
4u4s_523,-3452713.156058534
4u4s_526,-4124703.8728923453
4u4s_537,-5120499.876609025
4u4s_540,-5158786.17850221
4u4s_547,-4629510.321997079
4u4s_550,-4547179.981487642
4u4s_551,-4350245.982216524
4u4s_555,-5465046.147716759
4u4s_557,-4625243.988986
4u4s_586,-4896405.720298127
4u4s_589,-3942843.8491829094
4u4s_595,-4913711.02284097
4u4s_597,-3953458.767056493
4u4s_598,-4768004.964610053
4u4s_609,-5241344.764013319
4u4s_613,-4219915.223218957
4u4s_624,-4693331.790270816
4u4s_637,-4056044.6228964813
4u4s_638,-4525839.6516018165
4u4s_640,-3718259.2659581546
4u4s_641,-5440234.514515638
4u4s_642,-4554402.331469869
4u4s_644,-4480008.74255263
4u4s_646,-4805192.306447381
4u4s_647,-4680860.71417377
4u4s_654,-4029249.379990057
4u4s_658,-3705020.1862300336
4u4s_659,-4644705.147233425
4u4s_665,-5790869.066438821
4u4s_668,-5647366.39531719
4u4s_670,-5238385.43688164
4u4s_671,-5249001.9069975
4u4s_675,-4525973.070200729
4u4s_682,-3713623.4841336906
4u4s_689,-5668218.778091414
4u4s_69,-4282126.189983049
4u4s_71,-4149413.35311531
4u4s_719,-4640818.489711788
4u4s_720,-4558654.191716031
4u4s_726,-4526943.974149456
4u4s_727,-4586558.515245055
4u4s_730,-4593628.638919401
4u4s_764,-4953868.586268287
4u4s_765,-4245906.117332987
4u4s_766,-4264512.330646104
4u4s_767,-4287447.471136132
4u4s_768,-4370709.855710571
4u4s_772,-4872332.953202642
4u4s_776,-3133845.938887628
4u4s_787,-4462739.6986352345
4u4s_835,-4029798.14830886
4u4s_842,-3993423.970510794
4u4s_855,-4739263.672777807
4u4s_863,-4885489.283946234
4u4s_927,-4265459.12015007
4u4s_958,-4090986.746844803
4u4s_962,-4369614.123178414
4u4s_965,-4761733.133482615
4u4s_969,-4118117.748166917
4u4s_971,-4416910.9365246715
