#code,score
1z9g_159,-487.9866296552334
1z9g_219,-848.5722992091438
1z9g_227,-700.0999068547654
1z9g_229,-840.5180974146579
1z9g_236,-859.5388069890248
1z9g_253,-734.2427595938088
1z9g_269,-815.4812440730993
1z9g_285,-863.7646086925147
1z9g_317,-609.3455402670565
1z9g_406,-714.5704767481872
1z9g_421,-709.924021687741
1z9g_432,-823.0612768051977
1z9g_442,-822.3584919206485
1z9g_453,-764.6448638837613
1z9g_455,-745.797012633456
1z9g_465,-492.8149499898682
1z9g_468,-144.60496943499788
1z9g_472,-670.7436335806666
1z9g_481,-814.7053178500763
1z9g_484,-680.0301976002703
1z9g_490,-825.3022306400562
1z9g_527,-325.36457879232944
1z9g_551,-689.2844891658309
1z9g_575,-499.0887395238281
1z9g_581,-547.0263241062008
1z9g_582,-591.3752883689492
1z9g_583,-408.8746596478629
1z9g_585,-769.1020069576138
1z9g_588,-491.5342945414952
1z9g_593,-429.5493074839861
1z9g_595,-485.363663574388
1z9g_596,-541.5136140420533
1z9g_597,-525.9221731992027
1z9g_598,-600.7213423254749
1z9g_608,-487.68842318956814
1z9g_609,-701.2309543430033
1z9g_613,-664.5513075776141
1z9g_618,-489.38067169128993
1z9g_626,-663.3914569572466
1z9g_634,-568.0202695892801
1z9g_638,-576.8738722964074
1z9g_641,-636.5141683605734
1z9g_647,-270.0744198630258
1z9g_651,-502.0784090394916
1z9g_667,-546.9978214916425
1z9g_678,-567.3602004706904
1z9g_679,-764.5645105108508
1z9g_68,-671.8233692443107
1z9g_680,-887.302088827352
1z9g_684,-576.6280190802314
1z9g_694,-548.1493235180014
1z9g_699,-600.2913174688999
1z9g_701,-862.3780571437135
1z9g_703,-844.3473619196379
1z9g_707,-856.0839223280436
1z9g_710,-841.6402566103931
1z9g_715,-840.7176753347526
1z9g_720,-857.0916174719634
1z9g_721,-843.5310744317375
1z9g_722,-840.8547669690371
1z9g_723,-839.8624486298946
1z9g_725,-850.2149485053378
1z9g_734,-766.4466896054382
1z9g_738,-834.3765307524149
1z9g_741,-826.4990792863002
1z9g_742,-837.6750523075165
1z9g_747,-788.1596223806043
1z9g_749,-856.6552248650469
1z9g_750,-767.7141492081178
1z9g_753,-697.8719015127741
1z9g_763,-727.0291555061633
1z9g_769,-829.2952385752875
1z9g_784,-835.1146330283884
1z9g_787,-808.8242879672931
1z9g_789,-835.3223388121544
1z9g_790,-835.2872696304199
1z9g_793,-831.0364076292993
1z9g_817,-845.6964253266107
1z9g_845,-797.7693999880737
1z9g_849,-797.4075621579796
1z9g_851,-788.0954553984799
1z9g_852,-917.1907947883141
1z9g_853,-708.2621755125474
1z9g_870,-668.2525659607109
1z9g_873,-652.2743647374365
1z9g_876,-904.995319267418
1z9g_879,-647.7929557812676
1z9g_880,-1032.489699381218
1z9g_887,-904.4881284460284
1z9g_968,-637.8339924997949
