#code,score
2c3i_16,-1166.0615983622174
2c3i_32,-1013.129267013418
2c3i_338,-1262.4518779604302
2c3i_382,-1223.5839786154875
2c3i_387,-1247.934395172603
2c3i_389,-1257.350557324814
2c3i_403,-1138.617212253962
2c3i_412,-1123.7904053920654
2c3i_424,-1274.7289111634527
2c3i_435,-1221.5143366262964
2c3i_441,-1166.1640715386682
2c3i_444,-1329.3632705185278
2c3i_45,-1144.5585361065262
2c3i_453,-1150.473566246504
2c3i_456,-1088.0143406223822
2c3i_482,-1062.7728142912251
2c3i_491,-1166.3595163122286
2c3i_494,-570.808090754142
2c3i_503,-1057.5157301114912
2c3i_506,-1012.273414960024
2c3i_507,-866.7130359080264
2c3i_521,-963.0705622601242
2c3i_522,-1163.4448764601768
2c3i_556,-1064.1214443686144
2c3i_559,-748.4798463664678
2c3i_56,-1128.179253786713
2c3i_560,-927.3672877047267
2c3i_571,-811.8639535676571
2c3i_573,-1013.1515985340634
2c3i_574,-875.882322420537
2c3i_580,-1075.2175315045333
2c3i_590,-1111.7577547011078
2c3i_592,-912.0974655114653
2c3i_603,-1057.789542197178
2c3i_609,-1062.250428887888
2c3i_619,-1257.2830792871787
2c3i_62,-1157.1264348585719
2c3i_637,-1199.7736279040726
2c3i_650,-1246.6501468249462
2c3i_658,-1026.3557566682634
2c3i_659,-1134.859119616292
2c3i_663,-1176.2558388841974
2c3i_675,-1099.0422224619642
2c3i_680,-1209.0003549747512
2c3i_687,-1074.3923970430753
2c3i_690,-1010.2519957100809
2c3i_693,-1137.2698548613362
2c3i_696,-1167.7603722470046
2c3i_699,-881.1055267152828
2c3i_719,-1138.9981850490894
2c3i_720,-1222.514545766923
2c3i_729,-1248.9628563157273
2c3i_734,-1207.8727496303393
2c3i_743,-1022.1835920339536
2c3i_746,-1220.0689200584316
2c3i_749,-1249.874631357058
2c3i_799,-1275.3588741604044
2c3i_818,-1150.731034339545
2c3i_823,-1261.0369056270085
2c3i_846,-1258.3093633366097
2c3i_857,-1221.8048847778978
2c3i_861,-1172.0097802236655
2c3i_895,-1293.8090154068486
2c3i_917,-1262.5019720080768
2c3i_954,-1249.9559006434522
