#code,score
2zy1_109,-997.4272137196426
2zy1_113,-1110.308975488093
2zy1_119,-1067.5357107982861
2zy1_130,-1088.5854234133847
2zy1_160,-1107.215639225427
2zy1_163,-1046.326157701592
2zy1_165,-1004.5190624826706
2zy1_166,-1070.378475877885
2zy1_171,-1207.3260495445254
2zy1_172,-1093.308079248158
2zy1_173,-1061.9851269742953
2zy1_175,-1048.7580717659637
2zy1_214,-1107.5797956635977
2zy1_216,-1225.1028564664794
2zy1_220,-1167.6092893513437
2zy1_224,-972.4044801355668
2zy1_225,-1142.9475216835892
2zy1_231,-1199.8878841991757
2zy1_233,-1174.7133403990288
2zy1_234,-1089.860350062557
2zy1_241,-1211.4094381848513
2zy1_246,-1141.3540693833004
2zy1_251,-1120.8574202512898
2zy1_256,-1072.32962902305
2zy1_257,-1290.273576464003
2zy1_264,-1304.4515776765975
2zy1_273,-1006.7283842986429
2zy1_292,-1217.7079662371016
2zy1_306,-968.3666702291991
2zy1_328,-1068.6986452330498
2zy1_335,-977.2588754715682
2zy1_35,-1162.1936021006018
2zy1_396,-1125.0679459786115
2zy1_410,-870.8531380263728
2zy1_411,-1139.575980486546
2zy1_415,-1095.7515658923508
2zy1_418,-1231.9847315847094
2zy1_421,-991.1209306018643
2zy1_422,-962.2355074732834
2zy1_435,-1230.4646891577936
2zy1_451,-1183.5669227443302
2zy1_452,-1143.0209448704875
2zy1_453,-1390.6024070239641
2zy1_457,-978.4690592322735
2zy1_461,-1250.612028615255
2zy1_463,-1125.0670467871298
2zy1_464,-993.5226265720153
2zy1_468,-1122.054143730755
2zy1_469,-1155.307889417948
2zy1_473,-1010.8120610497211
2zy1_475,-1307.287349525289
2zy1_476,-1009.4781518572155
2zy1_482,-967.6949999300983
2zy1_483,-955.8046802057753
2zy1_484,-1098.9852630212915
2zy1_490,-825.6856426308468
2zy1_495,-976.915422790707
2zy1_496,-1045.7368435722185
2zy1_50,-1096.108744231179
2zy1_500,-844.7289801003494
2zy1_539,-891.1358079252138
2zy1_542,-1209.0390554733872
2zy1_556,-960.0950861858163
2zy1_561,-782.7728681991487
2zy1_575,-1016.1273829290423
2zy1_598,-921.66697770996
2zy1_603,-871.497256921602
2zy1_606,-892.5244446262725
2zy1_608,-880.0028670629681
2zy1_615,-719.6648478959997
2zy1_622,-934.301627700294
2zy1_631,-865.58675898763
2zy1_669,-793.6316270047406
2zy1_670,-893.8090949763109
2zy1_675,-1021.0215703189594
2zy1_684,-1066.3797919414487
2zy1_739,-1258.1970395598119
2zy1_746,-1372.626194600076
2zy1_753,-1424.6726205334276
2zy1_756,-1465.4235154093685
2zy1_76,-1101.6610455869918
2zy1_769,-1417.5952255934087
2zy1_771,-1419.6112227159535
2zy1_778,-1413.0212918093875
2zy1_81,-1125.6405341277025
2zy1_845,-1072.3563732945122
2zy1_885,-1071.7035745985531
2zy1_911,-1216.5041700814659
2zy1_916,-1256.9345556345263
2zy1_985,-1442.3351355062891
2zy1_992,-1297.657330885519
