#code,score
3ozt_102,-1078.0920065936684
3ozt_105,-1456.9369945520655
3ozt_112,-941.2649402383267
3ozt_113,-1034.168628027964
3ozt_116,-1195.4479617321226
3ozt_141,-919.6575705153183
3ozt_143,-1050.550995995267
3ozt_15,-857.44492234189
3ozt_151,-997.577233903378
3ozt_171,-1430.9586221315276
3ozt_192,-733.870975385633
3ozt_193,-1002.2562400776089
3ozt_2,-1344.6847978891387
3ozt_20,-952.4372774047929
3ozt_200,-976.3981221063086
3ozt_202,-1526.243488138348
3ozt_206,-1491.855390175465
3ozt_207,-1640.1559994407735
3ozt_212,-1221.6279843221557
3ozt_251,-1202.897630643338
3ozt_257,-1536.0283144055206
3ozt_267,-1500.599568557238
3ozt_271,-1121.2247332150757
3ozt_283,-1154.7607621598788
3ozt_286,-1485.082170202782
3ozt_320,-996.5828125794717
3ozt_332,-1009.5437949682
3ozt_339,-1219.4678668836364
3ozt_372,-1408.7940468480201
3ozt_387,-1421.2361842737328
3ozt_405,-1285.8686981146905
3ozt_407,-1136.3185211846885
3ozt_413,-1417.5318958294545
3ozt_415,-792.1982908886316
3ozt_421,-1291.8373236888046
3ozt_423,-1058.9574965682068
3ozt_427,-1116.8060765259695
3ozt_442,-1454.4444156349518
3ozt_444,-1335.5161735418335
3ozt_448,1845.9388909626327
3ozt_457,-1319.0551355760417
3ozt_460,-737.4853378184187
3ozt_462,-1314.4958769277134
3ozt_469,-1002.6557058644707
3ozt_471,-1303.0260205721422
3ozt_476,-627.6352345260748
3ozt_483,-1008.3287038049634
3ozt_487,-1032.705531417853
3ozt_492,-1367.7695954303817
3ozt_496,-1133.5061738288305
3ozt_497,-1248.8912833420495
3ozt_499,-1111.151363310154
3ozt_503,-1086.1341608549014
3ozt_507,-1115.9654998912627
3ozt_509,-1302.5706174075958
3ozt_520,-1011.2173240476129
3ozt_526,-909.0905841501219
3ozt_528,-867.464249813377
3ozt_534,-957.0296103354118
3ozt_539,-1342.4148392976685
3ozt_541,-896.9167553956529
3ozt_543,-884.6176755640297
3ozt_544,-1151.8732407558755
3ozt_550,-888.5435239978849
3ozt_562,-1039.9285192809991
3ozt_564,-831.7861984266051
3ozt_566,-912.0724047556897
3ozt_574,-995.7021482721631
3ozt_577,-853.3741993660296
3ozt_585,-858.7476756853039
3ozt_586,-813.8807967601598
3ozt_588,-732.4511127155515
3ozt_599,-1231.5500058203268
3ozt_603,-734.9253081693453
3ozt_606,-984.4788638197288
3ozt_609,-905.2138778767742
3ozt_628,-737.8200449842091
3ozt_641,-1066.8108544622332
3ozt_655,-1159.3315513898885
3ozt_673,-840.0973711871355
3ozt_675,-1090.1293525646838
3ozt_682,-770.4053603111588
3ozt_685,-1231.6809508533008
3ozt_689,10.09521808042608
3ozt_692,-1059.0613198431242
3ozt_693,-407.2497156861516
3ozt_698,-1104.6673977201933
3ozt_699,-771.5399467498485
3ozt_7,-742.1773280196293
3ozt_70,-1480.1151653743868
3ozt_700,-747.5133890865396
3ozt_702,-1423.2054144262663
3ozt_71,-1167.230640024412
3ozt_758,-1295.9002357173724
3ozt_787,-1332.0008727912154
3ozt_82,-1119.0251219097408
3ozt_85,-1087.6486981534536
3ozt_915,-1416.0039895783043
3ozt_98,-1335.4302240058928
3ozt_99,-954.2388342161335
