#code,score
2xii_108,-2615690.9441513345
2xii_131,-868794.375682013
2xii_137,-2126655.644340861
2xii_146,-3196076.879546135
2xii_151,-2999345.264997507
2xii_185,-2893637.779549572
2xii_199,-2018391.859287542
2xii_237,-3176014.3305982365
2xii_238,-3060588.972840156
2xii_252,-2501800.3306385293
2xii_253,-2926810.0694613727
2xii_293,-3167739.1778875077
2xii_355,-3311012.5538132694
2xii_397,-3367286.501055266
2xii_401,-2467694.88376616
2xii_402,4661248.975268303
2xii_406,-1517302.650075705
2xii_407,-125121.54113350745
2xii_409,-1984679.054253166
2xii_413,984660.2456781479
2xii_414,9885439.783593625
2xii_415,2600409.8651540177
2xii_417,5406859.8796734335
2xii_419,1430887.170385979
2xii_426,9802971.93574695
2xii_427,856618.8833139766
2xii_429,15271503.110060884
2xii_435,3439534.8455700385
2xii_436,3776026.8879967206
2xii_438,6385088.940321046
2xii_445,2609316.831739584
2xii_451,15500521.099709354
2xii_452,12041951.637827596
2xii_456,479755.6280878371
2xii_459,862275.5554141981
2xii_464,2098566.1341191824
2xii_467,-334561.3708598535
2xii_468,-38483.14061468343
2xii_469,-40010.430419931545
2xii_470,1309095.0023299488
2xii_471,-1082921.0619201167
2xii_49,-2915410.72621644
2xii_492,1233331.6437842713
2xii_494,6245838.646310445
2xii_496,-1807838.9461059878
2xii_497,-1024982.6231718762
2xii_513,-1910119.8027191635
2xii_525,-484251.32348689664
2xii_528,-430923.67559294763
2xii_535,-1030168.7314978614
2xii_542,-420251.0590652364
2xii_547,-1542758.7651483177
2xii_550,-468130.4986385032
2xii_552,-1757786.1178856562
2xii_554,-1591336.7695736124
2xii_558,237920.73225373356
2xii_561,-1127822.4830289125
2xii_564,542881.5530937535
2xii_567,-1401283.6842828314
2xii_570,-997305.8025482057
2xii_576,-1883002.7751019772
2xii_584,1618658.6069513643
2xii_586,-496794.3280615245
2xii_593,-1134793.3740586208
2xii_594,-567174.0768413576
2xii_621,-283857.5455460175
2xii_637,1667876.5300151713
2xii_641,-113501.52134920392
2xii_661,-754536.7208849902
2xii_665,-1013587.029230989
2xii_674,-822020.3087909227
2xii_683,869509.0330611657
2xii_688,603400.23301676
2xii_69,-2683975.5444114036
2xii_696,623331.6391328127
2xii_705,-1971348.5183002346
2xii_715,-2528872.7023187024
2xii_729,-2782717.1374741443
2xii_757,-2381279.2701978283
2xii_760,-2555772.780085047
2xii_762,-2350623.3952833097
2xii_763,-2999512.5284046005
2xii_765,-2563990.226605932
2xii_822,-2311470.709756804
2xii_84,-3252661.3213038915
2xii_968,-2148661.6412219964
2xii_97,-2711641.493892242
