#code,score
2ymd_229,-310312085.41158533
2ymd_3,-172146371.62989455
2ymd_403,-1954684.2891825417
2ymd_405,-2873901.7545014652
2ymd_410,-7663444.467705212
2ymd_416,-1477779.9078819065
2ymd_426,-19411729.55037866
2ymd_427,-381761708.3907776
2ymd_433,-2153690.634453666
2ymd_434,-1737321.686987873
2ymd_435,3230982.4808906624
2ymd_436,-1926271.3130488084
2ymd_439,-1995943.7580984319
2ymd_456,-1616895.2492397607
2ymd_458,-16399786.566785855
2ymd_484,-122325822.05382562
2ymd_486,-1149311.7793653521
2ymd_489,-95224.50105411676
2ymd_492,-1641124.914145708
2ymd_496,-1012483.9297286076
2ymd_497,-1817352.7283444772
2ymd_510,-1480658.0467005877
2ymd_521,-1664817.5245106234
2ymd_533,-1419882.3731058089
2ymd_539,-167618.74198653284
2ymd_547,-1283741.028106736
2ymd_555,-1336404.2144026463
2ymd_557,-1502904.3079010528
2ymd_561,-4432260.865695613
2ymd_567,-88151.11680623284
2ymd_585,-46475.89351651526
2ymd_587,-15287643.882521477
2ymd_588,-365194805.7580704
2ymd_591,1091968.379683164
2ymd_593,-198425.30386276505
2ymd_618,-1376065.3515772396
2ymd_623,-1073600.5484069707
2ymd_626,-809050.0892244641
2ymd_651,-626764.1795199648
2ymd_665,-4749171.281355973
2ymd_670,-980174.8376398725
2ymd_672,-1728852.6209645304
2ymd_674,-762654.9346734815
2ymd_680,-1657642.9635625319
2ymd_681,1159012.317745883
2ymd_687,-35170131.43291462
2ymd_688,820529.0335046498
2ymd_694,1005137.9569652888
2ymd_695,-1127946.723445787
2ymd_773,-1749671.7466280495
2ymd_889,-24502185.03984832
2ymd_89,-2589072.544185791
