#code,score
3cj4_115,-377.10157553024425
3cj4_125,-362.443705363891
3cj4_128,-237.58887313331633
3cj4_137,-340.2381614615073
3cj4_140,-345.2070253119901
3cj4_157,-321.01386018342635
3cj4_164,-370.7299007299418
3cj4_166,-377.0097766345446
3cj4_168,-366.7271780607346
3cj4_179,-378.36740730446957
3cj4_206,-300.4218772423701
3cj4_233,-306.43369916178233
3cj4_235,-380.9358271552486
3cj4_239,-353.2816252738338
3cj4_273,-361.7189343730379
3cj4_294,-378.1975430552228
3cj4_30,-378.1492654450692
3cj4_324,-345.51390294349926
3cj4_331,-351.4197070235947
3cj4_333,-355.382922989936
3cj4_338,-394.40969381204246
3cj4_367,-346.1681095611107
3cj4_384,-334.19441747599194
3cj4_391,-347.21214927119365
3cj4_40,-315.31093417290947
3cj4_407,343.43167674066484
3cj4_41,-354.2422338285443
3cj4_42,-291.2976131913662
3cj4_43,-277.51247182953875
3cj4_449,2550.228289712577
3cj4_50,-356.0316893638952
3cj4_501,-54.22313462272102
3cj4_509,-230.4243499189386
3cj4_528,-101.08552605955414
3cj4_532,254.87974475678334
3cj4_536,-206.41191840554222
3cj4_542,-163.93447856011835
3cj4_545,-243.55317847119366
3cj4_549,-70.68735374156756
3cj4_55,-297.8808660614862
3cj4_557,-14.490084841009399
3cj4_558,-245.7087008723434
3cj4_560,38.1829960373784
3cj4_573,994.0749575271054
3cj4_574,-261.43747918087035
3cj4_576,260.5408670616716
3cj4_577,-210.07673512142526
3cj4_58,-259.414148042573
3cj4_582,-193.26351438148734
3cj4_585,-210.98907479179044
3cj4_587,261.1898962324706
3cj4_588,-76.6817384711435
3cj4_591,310.34168032284845
3cj4_597,-150.29216699902472
3cj4_600,805.4786159282205
3cj4_604,425.747003305038
3cj4_610,146.89773747566878
3cj4_614,122.89860085264245
3cj4_619,48.27904791946406
3cj4_622,-30.095527920971634
3cj4_634,76.36704851495975
3cj4_647,-180.7887709692398
3cj4_672,-148.8174664242919
3cj4_676,-171.82543966921335
3cj4_687,418.55477100930113
3cj4_742,-384.7232458695787
3cj4_746,-378.2988178675416
3cj4_762,-361.77592448627985
3cj4_768,-342.5237136508334
3cj4_775,-267.95565689443254
3cj4_780,-335.5367778729881
3cj4_781,-306.88581001917703
3cj4_782,-327.5172879505416
3cj4_786,-305.75534371136774
3cj4_788,-325.78663981310444
3cj4_8,-312.1216657968947
3cj4_812,-372.3737454765374
3cj4_84,-323.0633449138273
3cj4_866,-377.7008982467764
3cj4_87,-347.32422444191434
3cj4_878,-372.4720772764696
3cj4_88,-328.72841047114605
3cj4_93,-371.6462376411882
3cj4_987,-374.87214796779085
