#code,score
4pcs_141,-313.02982680540947
4pcs_152,-320.01188877952876
4pcs_164,-315.60848313418325
4pcs_165,-318.2190337776222
4pcs_173,-323.91907425431026
4pcs_190,-307.02593437180593
4pcs_196,-320.029736030583
4pcs_202,-308.95004607752173
4pcs_241,-263.16826127306445
4pcs_257,-282.1131432612785
4pcs_274,-277.09738389892505
4pcs_309,-323.2900736539516
4pcs_401,-182.1180460076936
4pcs_409,-47.807024873617394
4pcs_413,-191.18971018974568
4pcs_416,-213.16790381736104
4pcs_437,608.6915427667235
4pcs_443,-96.80392557370625
4pcs_444,-165.87042258850076
4pcs_448,-258.5048155730197
4pcs_452,-84.47296285889013
4pcs_476,332.1551989881445
4pcs_477,119.22190774583073
4pcs_486,-172.6697153931372
4pcs_491,260.27274933264454
4pcs_494,-217.78924767154683
4pcs_512,-173.72284917271503
4pcs_518,-248.28430906008916
4pcs_521,-216.68636259533528
4pcs_527,-199.4841828927724
4pcs_533,-223.7848612907257
4pcs_537,-154.9125304589691
4pcs_538,-69.89284222550567
4pcs_545,-133.67911769870875
4pcs_548,-106.89766893676746
4pcs_549,-45.42170590920766
4pcs_552,-217.6804845057088
4pcs_554,161.34071900238987
4pcs_564,-223.557114944556
4pcs_572,-218.43779261073703
4pcs_580,-204.38218220900782
4pcs_581,-151.95544421148674
4pcs_588,5.262606836737191
4pcs_592,-82.65501132278283
4pcs_598,-219.4317784240747
4pcs_600,122.53093869711508
4pcs_63,-320.50688181039584
4pcs_654,-57.336542808506366
4pcs_663,-119.21785779793437
4pcs_684,144.0499651711627
4pcs_697,-93.67137772805596
4pcs_719,-311.80873583786064
4pcs_734,-295.5597785073348
4pcs_749,-309.90694865254545
4pcs_765,-142.21797367500025
4pcs_773,-292.9798962484792
4pcs_776,-256.5498631978803
4pcs_777,-172.30301075519554
4pcs_78,-326.11362154503826
4pcs_780,-196.7654267608241
4pcs_785,-283.8439013268513
4pcs_788,-266.46856326602347
4pcs_789,-223.33625522896136
4pcs_790,-234.8099463721052
4pcs_795,-225.77729087864316
4pcs_800,-114.84378620131675
4pcs_812,-313.200976570454
4pcs_826,-302.9459817445961
4pcs_828,-313.9487981752061
4pcs_883,-275.72708111180617
