#code,score
2v00_103,2600.0
2v00_107,2600.0
2v00_120,2600.0
2v00_136,2600.0
2v00_143,2600.0
2v00_145,2600.0
2v00_159,2600.0
2v00_183,2600.0
2v00_193,2600.0
2v00_198,2600.0
2v00_325,2600.0
2v00_395,2600.0
2v00_401,2600.0
2v00_416,1978.0
2v00_422,2600.0
2v00_424,2600.0
2v00_428,2600.0
2v00_432,2600.0
2v00_433,2600.0
2v00_434,2600.0
2v00_444,2600.0
2v00_451,2600.0
2v00_454,2600.0
2v00_461,2600.0
2v00_468,2600.0
2v00_472,2600.0
2v00_473,1978.0
2v00_474,2600.0
2v00_484,2600.0
2v00_488,2600.0
2v00_506,2600.0
2v00_512,2600.0
2v00_513,1978.0
2v00_516,2600.0
2v00_522,2600.0
2v00_523,2600.0
2v00_544,2600.0
2v00_551,2600.0
2v00_556,2600.0
2v00_558,2600.0
2v00_559,2600.0
2v00_564,2600.0
2v00_573,2600.0
2v00_574,2600.0
2v00_576,2600.0
2v00_579,2600.0
2v00_589,2600.0
2v00_592,2600.0
2v00_605,2600.0
2v00_619,2600.0
2v00_635,2600.0
2v00_638,2600.0
2v00_644,2600.0
2v00_653,2600.0
2v00_661,2600.0
2v00_665,2600.0
2v00_670,2600.0
2v00_674,2600.0
2v00_676,2600.0
2v00_684,2600.0
2v00_692,2600.0
2v00_700,2600.0
2v00_736,2900.0
2v00_755,2600.0
2v00_759,2600.0
2v00_760,2600.0
2v00_762,2600.0
2v00_771,2600.0
2v00_774,2900.0
2v00_776,2600.0
2v00_777,2600.0
2v00_778,2600.0
2v00_782,2600.0
2v00_785,2600.0
2v00_786,2600.0
2v00_79,2600.0
2v00_790,2600.0
2v00_791,2600.0
2v00_798,2600.0
2v00_800,2600.0
2v00_856,2600.0
2v00_860,2600.0
2v00_861,2600.0
2v00_903,2600.0
