#code,score
2xdl_176,1978.0
2xdl_192,1978.0
2xdl_215,1978.0
2xdl_265,1978.0
2xdl_268,1978.0
2xdl_273,1978.0
2xdl_3,1978.0
2xdl_329,1978.0
2xdl_339,1978.0
2xdl_348,1978.0
2xdl_396,1978.0
2xdl_414,1978.0
2xdl_417,1978.0
2xdl_420,1978.0
2xdl_435,1978.0
2xdl_446,1978.0
2xdl_484,1978.0
2xdl_486,1978.0
2xdl_489,1978.0
2xdl_495,1978.0
2xdl_496,1978.0
2xdl_5,1978.0
2xdl_500,1978.0
2xdl_509,1978.0
2xdl_522,1978.0
2xdl_525,1978.0
2xdl_534,1978.0
2xdl_537,1978.0
2xdl_539,1978.0
2xdl_540,1978.0
2xdl_547,1978.0
2xdl_549,1978.0
2xdl_55,1978.0
2xdl_559,1978.0
2xdl_560,1978.0
2xdl_565,1978.0
2xdl_570,1978.0
2xdl_574,1978.0
2xdl_586,1978.0
2xdl_593,1978.0
2xdl_595,1978.0
2xdl_596,1978.0
2xdl_611,1978.0
2xdl_612,1978.0
2xdl_615,1978.0
2xdl_623,1978.0
2xdl_628,1978.0
2xdl_646,1978.0
2xdl_650,1978.0
2xdl_660,1978.0
2xdl_674,1978.0
2xdl_685,1978.0
2xdl_691,1978.0
2xdl_692,1978.0
2xdl_693,1978.0
2xdl_739,1978.0
2xdl_742,1978.0
2xdl_746,1978.0
2xdl_747,1978.0
2xdl_755,1978.0
2xdl_763,1978.0
2xdl_768,1978.0
2xdl_769,1978.0
2xdl_775,1978.0
2xdl_776,1978.0
2xdl_778,1978.0
2xdl_779,1978.0
2xdl_783,1978.0
2xdl_788,1978.0
2xdl_790,1978.0
2xdl_99,1978.0
