#code,score
3gc5_402,1978.0
3gc5_403,1978.0
3gc5_406,1978.0
3gc5_408,1978.0
3gc5_426,1978.0
3gc5_427,1978.0
3gc5_428,1978.0
3gc5_436,2600.0
3gc5_446,1978.0
3gc5_451,1978.0
3gc5_457,1978.0
3gc5_460,1978.0
3gc5_461,1978.0
3gc5_463,1978.0
3gc5_464,2600.0
3gc5_467,1978.0
3gc5_471,1978.0
3gc5_475,1978.0
3gc5_492,1978.0
3gc5_495,1978.0
3gc5_500,70.0
3gc5_507,1978.0
3gc5_516,2600.0
3gc5_518,1978.0
3gc5_524,1978.0
3gc5_532,70.0
3gc5_536,1978.0
3gc5_551,1978.0
3gc5_556,1978.0
3gc5_559,1978.0
3gc5_563,1978.0
3gc5_565,1978.0
3gc5_566,1978.0
3gc5_567,1978.0
3gc5_574,1978.0
3gc5_577,1978.0
3gc5_580,1978.0
3gc5_582,1978.0
3gc5_585,1978.0
3gc5_589,1978.0
3gc5_603,1978.0
3gc5_604,1978.0
3gc5_605,2600.0
3gc5_606,1978.0
3gc5_607,2600.0
3gc5_617,1978.0
3gc5_627,1978.0
3gc5_631,1978.0
3gc5_632,2600.0
3gc5_636,1978.0
3gc5_638,1978.0
3gc5_646,1978.0
3gc5_647,2600.0
3gc5_657,1978.0
3gc5_662,1978.0
3gc5_663,1978.0
3gc5_679,1978.0
3gc5_682,70.0
3gc5_691,2600.0
3gc5_696,1978.0
3gc5_715,1978.0
3gc5_733,1978.0
3gc5_739,1978.0
3gc5_749,1978.0
3gc5_752,1978.0
3gc5_755,1978.0
3gc5_757,2600.0
3gc5_758,1978.0
3gc5_759,1978.0
3gc5_764,1978.0
3gc5_770,1978.0
3gc5_772,1978.0
3gc5_773,1978.0
3gc5_775,1978.0
3gc5_776,1978.0
3gc5_777,1978.0
3gc5_778,1978.0
3gc5_779,1978.0
3gc5_780,540000.0
3gc5_783,1978.0
3gc5_784,1978.0
3gc5_822,1978.0
3gc5_878,540000.0
3gc5_879,540000.0
3gc5_973,1978.0
