#code,score
2weg_106,-45.01367944089118
2weg_146,-44.174955271355
2weg_177,-44.174955271355
2weg_20,-44.174955271355
2weg_204,-44.174955271355
2weg_21,-44.174955271355
2weg_218,-44.174955271355
2weg_248,-45.01367944089118
2weg_301,-44.174955271355
2weg_314,-44.174955271355
2weg_335,-44.174955271355
2weg_343,-44.174955271355
2weg_371,-44.174955271355
2weg_385,-44.174955271355
2weg_387,-44.174955271355
2weg_390,-44.174955271355
2weg_407,-44.174955271355
2weg_415,-45.01367944089118
2weg_419,-44.174955271355
2weg_437,-44.174955271355
2weg_443,-44.174955271355
2weg_447,-44.174955271355
2weg_468,-44.174955271355
2weg_472,-44.174955271355
2weg_476,-44.174955271355
2weg_502,-45.01367944089118
2weg_515,-44.174955271355
2weg_517,-44.174955271355
2weg_518,-45.01367944089118
2weg_52,-44.174955271355
2weg_520,-45.01367944089118
2weg_525,-45.01367944089118
2weg_530,-44.174955271355
2weg_542,-44.174955271355
2weg_566,-44.174955271355
2weg_579,-45.01367944089118
2weg_582,-45.01367944089118
2weg_592,-44.174955271355
2weg_598,-45.01367944089118
2weg_599,-44.174955271355
2weg_604,-44.174955271355
2weg_614,-44.174955271355
2weg_620,-45.01367944089118
2weg_632,-44.174955271355
2weg_643,-44.174955271355
2weg_644,-44.174955271355
2weg_653,-44.174955271355
2weg_666,-45.01367944089118
2weg_674,-45.01367944089118
2weg_686,-45.01367944089118
2weg_699,-44.174955271355
2weg_765,-44.174955271355
2weg_776,-45.01367944089118
2weg_784,-44.174955271355
2weg_785,-45.01367944089118
2weg_80,-44.174955271355
2weg_838,-44.174955271355
