#code,score
4ivb_142,-44.174955271355
4ivb_253,-44.174955271355
4ivb_423,-45.01367944089118
4ivb_425,-44.174955271355
4ivb_428,-44.174955271355
4ivb_429,-44.174955271355
4ivb_436,-45.01367944089118
4ivb_439,-44.174955271355
4ivb_441,-44.174955271355
4ivb_442,-45.01367944089118
4ivb_460,-44.174955271355
4ivb_468,-44.174955271355
4ivb_477,-45.01367944089118
4ivb_479,-44.174955271355
4ivb_511,-44.174955271355
4ivb_525,-45.01367944089118
4ivb_527,-44.174955271355
4ivb_539,-45.01367944089118
4ivb_547,-45.01367944089118
4ivb_552,-44.174955271355
4ivb_561,-44.174955271355
4ivb_563,-44.174955271355
4ivb_565,-44.174955271355
4ivb_566,-44.174955271355
4ivb_577,-44.174955271355
4ivb_585,-44.174955271355
4ivb_586,-45.01367944089118
4ivb_587,-44.174955271355
4ivb_590,-44.174955271355
4ivb_594,-44.174955271355
4ivb_598,-44.174955271355
4ivb_61,-44.174955271355
4ivb_615,-44.174955271355
4ivb_620,-44.174955271355
4ivb_625,-45.01367944089118
4ivb_637,-44.174955271355
4ivb_649,-44.174955271355
4ivb_661,-45.01367944089118
4ivb_664,-44.174955271355
4ivb_666,-44.174955271355
4ivb_671,-44.174955271355
4ivb_674,-44.174955271355
4ivb_734,-44.174955271355
4ivb_741,-45.01367944089118
4ivb_747,-45.01367944089118
4ivb_748,-45.01367944089118
4ivb_750,-45.01367944089118
4ivb_752,-45.01367944089118
4ivb_761,-44.174955271355
4ivb_764,-44.174955271355
4ivb_768,-45.01367944089118
4ivb_769,-45.01367944089118
4ivb_771,-45.01367944089118
4ivb_772,-44.174955271355
4ivb_773,-44.174955271355
4ivb_776,-44.174955271355
4ivb_779,-44.174955271355
4ivb_781,-44.174955271355
4ivb_783,-44.174955271355
4ivb_784,-45.01367944089118
4ivb_785,-44.174955271355
4ivb_787,-45.01367944089118
4ivb_788,-44.174955271355
4ivb_791,-44.174955271355
4ivb_794,-44.174955271355
4ivb_795,-44.174955271355
4ivb_797,-44.174955271355
4ivb_845,-44.174955271355
4ivb_85,-44.174955271355
4ivb_875,-44.174955271355
4ivb_884,-45.01367944089118
4ivb_887,-44.174955271355
4ivb_896,-45.01367944089118
4ivb_897,-45.01367944089118
4ivb_947,-44.174955271355
4ivb_962,-44.174955271355
